radius_m,abs_radius_m,U_axial_m_per_s,U_mag_m_per_s,U_poiseuille_m_per_s,error_m_per_s
-0.002,0.002,0.0,0.0,0.0,0.0
-0.001959596,0.001959596,0.0076791043,0.007679104300001327,0.007955966485172482,-0.0002768621851724825
-0.0019191919,0.0019191919,0.015358209,0.015358209000002654,0.015749585559655787,-0.00039137655965578756
-0.0018787879,0.0018787879,0.023037313,0.023037313000003983,0.023380818645092352,-0.00034350564509235196
-0.0018383838,0.0018383838,0.030716417,0.030716417000005308,0.03084970351612368,-0.0001332865161236818
-0.0017979798,0.0017979798,0.037845407,0.03784540700001015,0.038156203201824224,-0.00031079620182422607
-0.0017575758,0.0017575758,0.044895809,0.04489580900001623,0.04530033638858557,-0.00040452738858556825
-0.0017171717,0.0017171717,0.051946212,0.05194621200002278,0.05228212015536824,-0.0003359081553682419
-0.0016767677,0.0016767677,0.058996614,0.05899661400002964,0.059101519942393585,-0.0001049059423935822
-0.0016363636,0.0016363636,0.06554266,0.06554266000004096,0.06575856950572435,-0.00021590950572435152
-0.0015959596,0.0015959596,0.071920588,0.07192058800005463,0.07225323589301373,-0.00033264789301373776
-0.0015555556,0.0015555556,0.078298516,0.07829851600006911,0.0785855357813639,-0.0002870197813639036
-0.0015151515,0.0015151515,0.084676444,0.08467644400008423,0.08475548424044597,-7.904024044597113e-05
-0.0014747475,0.0014747475,0.090634751,0.09063475100010268,0.09076305072906019,-0.0001282997290601856
-0.0014343434,0.0014343434,0.096341285,0.09634128500012373,0.09660826498469031,-0.0002669799846903159
-0.0013939394,0.0013939394,0.10204782,0.1020478200001456,0.10229109807356852,-0.00024327807356852582
-0.0013535354,0.0013535354,0.10775435,0.10775435000016816,0.10781156466350754,-5.721466350754045e-05
-0.0013131313,0.0013131313,0.11312692,0.11312692000019153,0.113169677814889,-4.2757814888993995e-05
-0.0012727273,0.0012727273,0.11816551,0.11816551000021569,0.11836541100509199,-0.00019990100509198472
-0.0012323232,0.0012323232,0.12320411,0.12320411000024041,0.12339878995302157,-0.0001946799530215676
-0.0011919192,0.0011919192,0.1282427,0.12824270000026558,0.12826978974348863,-2.7089743488639684e-05
-0.0011515152,0.0011515152,0.13311555,0.1331155500002894,0.13297842303501642,0.00013712696498358046
-0.0011111111,0.0011111111,0.13771217,0.13771217000031047,0.1375247008786973,0.00018746912130268578
-0.0010707071,0.0010707071,0.14230879,0.14230879000033175,0.14190860077048914,0.00040018922951085
-0.001030303,0.001030303,0.14690541,0.14690541000035318,0.14613014441071812,0.0007752655892818705
-0.00098989899,0.00098989899,0.15123162,0.15123162000037077,0.1501893118873258,0.0010423081126742229
-0.00094949495,0.00094949495,0.1547466,0.15474660000037638,0.15408611561772093,0.0006604843822790862
-0.00090909091,0.00090909091,0.15826158,0.15826158000038199,0.15782055252769064,0.0004410274723093688
-0.00086868687,0.00086868687,0.16177657,0.16177657000038762,0.161392622617235,0.0003839473827650097
-0.00082828283,0.00082828283,0.16529155,0.16529155000039325,0.16480232588635393,0.0004892241136460751
-0.00078787879,0.00078787879,0.16861056,0.16861056000039262,0.1680496623350475,0.0005608976649524866
-0.00074747475,0.00074747475,0.17147227,0.1714722700003779,0.1711346319633157,0.00033763803668432346
-0.00070707071,0.00070707071,0.17433399,0.1743339900003637,0.17405723477115848,0.0002767552288415187
-0.00066666667,0.00066666667,0.17719571,0.1771957100003501,0.17681747075857585,0.0003782392414241609
-0.00062626263,0.00062626263,0.18005742,0.18005742000033698,0.17941533992556785,0.0006420800744321442
-0.00058585859,0.00058585859,0.1826338,0.18263380000031731,0.18185084227213447,0.0007829577278655464
-0.00054545455,0.00054545455,0.18468028,0.18468028000028602,0.18412397779827572,0.0005563022017242847
-0.00050505051,0.00050505051,0.18672676,0.18672676000025668,0.18623474650399158,0.0004920134960084144
-0.00046464646,0.00046464646,0.18877323,0.18877323000022925,0.1881831488514186,0.0005900811485813895
-0.00042424242,0.00042424242,0.19081971,0.19081971000020367,0.18996918387609787,0.0008505261239021289
-0.00038383838,0.00038383838,0.19253914,0.1925391400001748,0.19159285208035173,0.0009462879196482643
-0.00034343434,0.00034343434,0.19376801,0.19376801000014146,0.19305415346418023,0.0007138565358197624
-0.0003030303,0.0003030303,0.19499688,0.19499688000011187,0.19435308802758333,0.0006437919724166796
-0.00026262626,0.00026262626,0.19622575,0.19622575000008588,0.19548965577056107,0.0007360942294389328
-0.00022222222,0.00022222222,0.19745463,0.19745463000006347,0.1964638566931134,0.0009907733068865998
-0.00018181818,0.00018181818,0.19831491,0.19831491000004298,0.19727569079524035,0.0010392192047596616
-0.00014141414,0.00014141414,0.19872469,0.19872469000002502,0.1979251580769419,0.0007995319230581222
-0.0001010101,0.0001010101,0.19913448,0.19913448000001197,0.19841225853821806,0.0007222214617819411
-6.0606061e-05,6.0606061e-05,0.19954427,0.19954427000000377,0.19873699217304097,0.0008072778269590242
-2.020202e-05,2.020202e-05,0.19995405,0.1999540500000004,0.19889935899949424,0.0010546910005057586
2.020202e-05,2.020202e-05,0.19995405,0.1999540500000018,0.19889935899949424,0.0010546910005057586
6.0606061e-05,6.0606061e-05,0.19954426,0.19954426000000802,0.19873699217304097,0.0008072678269590294
0.0001010101,0.0001010101,0.19913447,0.19913447000001902,0.19841225853821806,0.0007222114617819464
0.00014141414,0.00014141414,0.19872468,0.19872468000003485,0.1979251580769419,0.0007995219230580997
0.00018181818,0.00018181818,0.19831489,0.19831489000005556,0.19727569079524035,0.0010391992047596443
0.00022222222,0.00022222222,0.19745461,0.1974546100000785,0.1964638566931134,0.0009907533068866103
0.00026262626,0.00026262626,0.19622573,0.19622573000010302,0.19548965577056107,0.0007360742294389155
0.0003030303,0.0003030303,0.19499686,0.19499686000013108,0.19435308802758333,0.0006437719724166624
0.00034343434,0.00034343434,0.19376798,0.19376798000016274,0.19305415346418023,0.0007138265358197782
0.00038383838,0.00038383838,0.19253911,0.19253911000019808,0.19159285208035173,0.0009462579196482801
0.00042424242,0.00042424242,0.19081967,0.1908196700002283,0.18996918387609787,0.0008504861239021222
0.00046464646,0.00046464646,0.18877319,0.18877319000025486,0.1881831488514186,0.0005900411485814105
0.00050505051,0.00050505051,0.18672671,0.18672671000028315,0.18623474650399158,0.0004919634960084129
0.00054545455,0.00054545455,0.18468023,0.1846802300003133,0.18412397779827572,0.0005562522017242832
0.00058585859,0.00058585859,0.18263376,0.18263376000034537,0.18185084227213447,0.0007829177278655397
0.00062626263,0.00062626263,0.18005737,0.18005737000036506,0.17941533992556785,0.0006420300744321428
0.00066666667,0.00066666667,0.17719565,0.17719565000037782,0.17681747075857585,0.0003781792414241647
0.00070707071,0.00070707071,0.17433393,0.17433393000039102,0.17405723477115848,0.00027669522884152253
0.00074747475,0.00074747475,0.17147222,0.17147222000040474,0.1711346319633157,0.000337588036684322
0.00078787879,0.00078787879,0.1686105,0.168610500000419,0.1680496623350475,0.0005608376649524904
0.00082828283,0.00082828283,0.16529149,0.1652914900004185,0.16480232588635393,0.0004891641136460789
0.00086868687,0.00086868687,0.1617765,0.16177650000041155,0.161392622617235,0.00038387738276499106
0.00090909091,0.00090909091,0.15826152,0.15826152000040458,0.15782055252769064,0.00044096747230934485
0.00094949495,0.00094949495,0.15474653,0.15474653000039765,0.15408611561772093,0.0006604143822790676
0.00098989899,0.00098989899,0.15123154,0.15123154000039074,0.1501893118873258,0.0010422281126742095
0.001030303,0.001030303,0.14690533,0.14690533000037148,0.14613014441071812,0.0007751855892818849
0.0010707071,0.0010707071,0.14230872,0.14230872000034828,0.14190860077048914,0.0004001192295108591
0.0011111111,0.0011111111,0.1377121,0.13771210000032527,0.1375247008786973,0.00018739912130269487
0.0011515152,0.0011515152,0.13311548,0.1331154800003025,0.13297842303501642,0.00013705696498358955
0.0011919192,0.0011919192,0.12824263,0.1282426300002771,0.12826978974348863,-2.7159743488630594e-05
0.0012323232,0.0012323232,0.12320404,0.12320404000025048,0.12339878995302157,-0.00019474995302157239
0.0012727273,0.0012727273,0.11816544,0.11816544000022436,0.11836541100509199,-0.0001999710050919895
0.0013131313,0.0013131313,0.11312685,0.11312685000019884,0.113169677814889,-4.282781488899878e-05
0.0013535354,0.0013535354,0.10775429,0.1077542900001743,0.10781156466350754,-5.727466350753663e-05
0.0013939394,0.0013939394,0.10204776,0.1020477600001507,0.10229109807356852,-0.000243338073568522
0.0014343434,0.0014343434,0.096341224,0.09634122400012783,0.09660826498469031,-0.00026704098469031157
0.0014747475,0.0014747475,0.090634692,0.09063469200010586,0.09076305072906019,-0.0001283587290601823
