distance,x,y,z,U_x,U_y,U_z,p
0.029788945,1.110223e-20,1.110223e-20,0.030788945,-1.3949434e-09,-1.5172808e-09,0.20014171,0.0061722653
0.029979899,1.110223e-20,1.110223e-20,0.030979899,-1.472699e-09,-1.6092016e-09,0.20014244,0.0060442935
0.030170854,1.110223e-20,1.110223e-20,0.031170854,-1.5697286e-09,-1.7277493e-09,0.20014309,0.0059163253
0.030361809,1.110223e-20,1.110223e-20,0.031361809,-1.6690258e-09,-1.8494295e-09,0.20014374,0.0057883574
0.030552764,1.110223e-20,1.110223e-20,0.031552764,-1.768323e-09,-1.9711097e-09,0.20014438,0.0056603896
0.030743719,1.110223e-20,1.110223e-20,0.031743719,-1.8676202e-09,-2.0927899e-09,0.20014502,0.0055324218
0.030934673,1.110223e-20,1.110223e-20,0.031934673,-1.9669174e-09,-2.2144701e-09,0.20014566,0.005404454
0.031125628,1.110223e-20,1.110223e-20,0.032125628,-2.0766714e-09,-2.3467569e-09,0.20014625,0.0052764884
0.031316583,1.110223e-20,1.110223e-20,0.032316583,-2.191863e-09,-2.4845592e-09,0.20014682,0.0051485241
0.031507538,1.110223e-20,1.110223e-20,0.032507538,-2.3070545e-09,-2.6223614e-09,0.20014738,0.0050205598
0.031698492,1.110223e-20,1.110223e-20,0.032698492,-2.4222461e-09,-2.7601637e-09,0.20014794,0.0048925955
0.031889447,1.110223e-20,1.110223e-20,0.032889447,-2.5374377e-09,-2.897966e-09,0.20014851,0.0047646312
0.032080402,1.110223e-20,1.110223e-20,0.033080402,-2.6669495e-09,-3.0503867e-09,0.20014904,0.0046366682
0.032271357,1.110223e-20,1.110223e-20,0.033271357,-2.8161518e-09,-3.2229076e-09,0.20014954,0.004508707
0.032462312,1.110223e-20,1.110223e-20,0.033462312,-2.9653541e-09,-3.3954286e-09,0.20015003,0.0043807457
0.032653266,1.110223e-20,1.110223e-20,0.033653266,-3.1145563e-09,-3.5679495e-09,0.20015052,0.0042527845
0.032844221,1.110223e-20,1.110223e-20,0.033844221,-3.2637586e-09,-3.7404705e-09,0.20015102,0.0041248233
0.033035176,1.110223e-20,1.110223e-20,0.034035176,-3.416334e-09,-3.9182781e-09,0.2001515,0.0039968625
0.033226131,1.110223e-20,1.110223e-20,0.034226131,-3.5838474e-09,-4.1194979e-09,0.20015194,0.003868904
0.033417085,1.110223e-20,1.110223e-20,0.034417085,-3.7513608e-09,-4.3207178e-09,0.20015237,0.0037409455
0.03360804,1.110223e-20,1.110223e-20,0.03460804,-3.9188742e-09,-4.5219376e-09,0.20015281,0.003612987
0.033798995,1.110223e-20,1.110223e-20,0.034798995,-4.0863876e-09,-4.7231575e-09,0.20015324,0.0034850285
0.03398995,1.110223e-20,1.110223e-20,0.03498995,-4.253901e-09,-4.9243774e-09,0.20015367,0.00335707
0.034180905,1.110223e-20,1.110223e-20,0.035180905,-4.5135922e-09,-5.234504e-09,0.20015406,0.0032291137
0.034371859,1.110223e-20,1.110223e-20,0.035371859,-4.7784044e-09,-5.550681e-09,0.20015444,0.0031011574
0.034562814,1.110223e-20,1.110223e-20,0.035562814,-5.0432166e-09,-5.866858e-09,0.20015482,0.0029732012
0.034753769,1.110223e-20,1.110223e-20,0.035753769,-5.3080288e-09,-6.183035e-09,0.2001552,0.002845245
0.034944724,1.110223e-20,1.110223e-20,0.035944724,-5.572841e-09,-6.499212e-09,0.20015558,0.0027172888
0.035135678,1.110223e-20,1.110223e-20,0.036135678,-5.8024441e-09,-6.7701724e-09,0.20015593,0.0025893341
