Slice,Mean Velocity [m/s],Median Velocity [m/s],Max Velocity [m/s],Std Velocity [m/s],CV [-],NonUniformity [-],n samples,source_file
inlet,0.13232932056250293,0.11384174957412087,0.41998226930232235,0.09901659382713408,0.7482589150026332,0.7482589150026332,1545,openfoam/segment_test_V2/data/inlet_integration.csv
midslice,0.21880776403146807,0.1785140235866217,0.6110642084139714,0.16008651087683126,0.7316308522480411,0.7316308522480411,994,openfoam/segment_test_V2/data/midslice_integration.csv
outlet,0.12685896690218704,0.0409264596578485,0.7779798584097894,0.18806048210372792,1.4824374397493676,1.4824374397493676,1447,openfoam/segment_test_V2/data/outlet_integration.csv
