Slice,Area [mm²],Average pressure [Pa],Average pressure [mmHg]
inlet,4.98645935,446.3130043965965,3.3476320817014185
midslice,3.0951103800000004,322.14823004147587,2.4163171122656117
outlet,5.6834308,89.94704555565278,0.6746601877833575
