Slice,Area [mm²],Flow rate [m³/s],Flow rate [mL/s],normal_x,normal_y,normal_z,source_file
inlet,4.98645935,1.0213744738922028e-06,1.0213744738922028,0.5103037804570406,-0.8596550644734353,-0.024149985019174598,openfoam/segment_test_V2/data/inlet_integration_variable.csv
midslice,3.0951103800000004,1.027429854844189e-06,1.027429854844189,0.6324414356546973,-0.7702129056188429,0.08240091313331853,openfoam/segment_test_V2/data/midslice_integration_variable.csv
outlet,5.6834308,1.026498933012232e-06,1.026498933012232,0.4278871251313104,-0.9017025116588478,0.06200958486385685,openfoam/segment_test_V2/data/outlet_integration_variable.csv
