metric,CFD_value,FirstBlood_value,absolute_error,signed_error,relative_error_percent,units
pressure_drop,356.36595884094373,166.1217823028273,190.24417653811642,-190.24417653811642,-53.38449754204155,Pa
hydraulic_resistance,348908229.0092116,162645324.06980833,186262904.93940327,-186262904.93940327,-53.38449754204155,Pa s/m3
