distance_from_inlet_mm,global_s_mm,radius_m,pressure_gauge_Pa,pressure_loss_from_inlet_Pa,pressure_loss_from_inlet_mmHg
0.0,19.671598192628114,0.001191975701427849,166.1217823028273,0.0,0.0
0.4055276454345419,20.077125838062656,0.001194893945493362,164.5763220391673,1.5454602636600043,0.011591905295741554
0.8110552908690838,20.4826534834972,0.001191728671827326,162.4679896187154,3.65379268411192,0.027405698975523144
1.216582936303626,20.88818112893174,0.001168607747780219,158.3082237535709,7.813558549256413,0.05860650891871657
1.622110581738164,21.293708774366277,0.001148436936910175,154.100243303852,12.021538998975302,0.09016895798741964
2.027638227172706,21.69923641980082,0.001135089407810303,150.3937231147866,15.728059188040703,0.11797014577509381
2.433165872607248,22.10476406523536,0.001126450594077963,147.0953470386885,19.026435264138826,0.14271000095151942
2.83869351804179,22.510291710669904,0.001116301782696187,143.4850050609821,22.63677724184521,0.1697897928264011
3.244221163476332,22.915819356104446,0.001110181596645667,140.2856648115994,25.836117491227924,0.19378681821213917
3.649748808910874,23.32134700153899,0.001039070339031723,126.3295445788244,39.792237724002916,0.29846632880090246
4.055276454345412,23.726874646973528,0.000974836307942407,108.7577458189044,57.364036483922916,0.43026565867719146
4.460804099779954,24.132402292408067,0.0009939387575627315,109.4643775064906,56.65740479633671,0.42496548513402266
4.866331745214496,24.53792993784261,0.001002363634511581,107.6543972710788,58.467385031748506,0.4385414533872403
5.271859390649038,24.94345758327715,0.001009066832944164,105.5094450572215,60.612337245605815,0.45462991810650866
5.677387036083579,25.348985228711694,0.001008639564453851,101.858942251798,64.26284005102931,0.4820109409625046
6.082914681518122,25.754512874146236,0.000965613205172687,87.65467690682271,78.4671053960046,0.5885516929612635
6.488442326952663,26.160040519580775,0.0009635971250844095,82.85641735189711,83.2653649509302,0.6245415994331138
6.893969972387206,26.56556816501532,0.001004698590754906,88.90614548043231,77.215636822395,0.5791649066898886
7.299497617821744,26.971095810449857,0.000983346943701225,80.19624995233607,85.92553235049124,0.6444944958560235
7.705025263256285,27.3766234558844,0.000910639289640175,54.00495066201256,112.11683164081475,0.8409453966555315
8.110552908690828,27.78215110131894,0.0008861849269202165,38.96501365044969,127.15676865237762,0.9537542016383748
8.51608055412537,28.187678746753484,0.000926666942027879,48.3501977995038,117.77158450332351,0.8833595312627773
8.92160819955991,28.593206392188023,0.000966721710491089,55.57658948669268,110.54519281613463,0.8291571360038746
9.32713584499445,28.99873403762256,0.000984856908109813,56.10217997102882,110.0196023317985,0.8252148831604798
9.732663490428992,29.404261683057108,0.000961989085343059,46.12024710790138,120.00153519492594,0.9000855369965071
10.13819113586353,29.809789328491643,0.0009017432889312236,21.86271618072351,144.2590661221038,1.0820319822259967
10.54371878129808,30.215316973926193,0.000920137021680123,23.08356994541828,143.03821235740904,1.0728748259062502
10.94924642673262,30.62084461936073,0.000999299905939115,40.66398039298656,125.45780190984075,0.9410109030604733
11.35477407216716,31.026372264795274,0.001020771140725948,41.70279409804789,124.41898820477942,0.9332191594795212
11.7603017176017,31.431899910229816,0.0009686238731455825,25.86624406084593,140.25553824198138,1.052003053545984
12.16582936303624,31.837427555664355,0.0008508973528290246,-22.97830786328996,189.10009016611727,1.4183673227745044
12.57135700847078,32.242955201098894,0.0007483773859150756,-104.1769733627298,270.2987556655571,2.0274074014763754
12.97688465390532,32.64848284653343,0.0007257603346606355,-140.1378932597145,306.2596755625418,2.2971364832234435
13.38241229933986,33.05401049196797,0.0007807633071585934,-100.3336077767162,266.4553900795435,1.998579788798407
13.7879399447744,33.45953813740252,0.000867853451618963,-56.31216709614091,222.43394939896822,1.6683918290362816
14.19346759020894,33.86506578283705,0.000924349031736624,-40.00487272224564,206.12665502507295,1.5460770620656312
14.59899523564349,34.2705934282716,0.00099615621082719,-24.51443069515517,190.63621299798248,1.4298891915719834
15.00452288107803,34.67612107370614,0.001093661081916663,-9.913449120242149,176.03523142306946,1.3203728231339953
15.41005052651257,35.08164871914069,0.001172188880262394,-2.682149934713379,168.8039322375407,1.2661336186103496
15.81557817194711,35.48717636457522,0.001226691349973838,0.4628488737216685,165.65893342910564,1.2425441875522765
16.22110581738166,35.89270401000977,0.001241086848940264,0.0,166.1217823028273,1.2460158396138545
