points_per_edge,total_stored_grid_points,unique_axial_grid_points,pressure_drop_Pa,hydraulic_resistance_Pa_s_m3,pressure_drop_change_percent,resistance_change_percent,terminal_flow_mismatch_percent,axial_flow_variation_percent
11,440,401,175.1105130996148,171463913.0064541,,,0.02095915158496037,0.03560911051761467
15,600,561,170.445695306611,166887833.4815056,2.6639278878419708,2.6688295191165143,0.01088653407777619,0.0186255219148295
21,840,801,167.938219208605,164428269.3839884,1.471129026459329,1.4737827474941483,0.005499553407125899,0.00941794797894513
31,1240,1201,166.5925743088883,163108276.278505,0.8012737696385955,0.8027774727719358,0.002467771360456227,0.004242901069128922
41,1640,1601,166.1217823028273,162646452.207189,0.2826008350096411,0.2831395695258565,0.001387235324550235,0.00239727566442745
