model,Q_m3_s,Q_mL_s,pressure_drop_Pa,hydraulic_resistance_Pa_s_m3,relative_error_vs_CFD_percent,source
CFD,1.0213744738922028e-06,1.0213744738922028,356.36595884094373,348908229.0092116,0.0,CFD common-domain reference
Analytical,1.0213744738922028e-06,1.0213744738922028,145.0004922729472,141966042.79759076,-59.311351526236805,common-domain reduced-order model
Native 0D,1.0213744738922028e-06,1.0213744738922028,173.40237779909793,169773557.3303539,-51.34148661025944,common-domain reduced-order model
0D (N=50),1.0213744738922028e-06,1.0213744738922028,168.73875833664633,165207534.209882,-52.650146808225514,common-domain reduced-order model
FirstBlood 1D,1.0213744738922028e-06,1.0213744738922028,166.1217823028273,162645324.06980833,-53.38449754204155,converged FirstBlood grid_41
