segment_id,s_start_m,s_end_m,length_m,radius_m,area_m2,resistance_Pa_s_m3
0,0.0,0.007178542017936706,0.0072508524,0.0012671160078487232,5.0440876863605465e-06,25068694.29093348
1,0.007178542017936706,0.014357084035873413,0.0070871376,0.0010745530084420264,3.6274844674007763e-06,47377009.37385976
2,0.014357084035873413,0.021535626053810118,0.0072838524,0.0013049593932445336,5.349877876660995e-06,22386247.765371047
3,0.021535626053810118,0.028714168071746825,0.0069429046,0.0010151930206025687,3.237778384567968e-06,58257904.62649545
4,0.028714168071746825,0.03589271008968353,0.007327958,0.0009909397439317113,3.0849232735940394e-06,67733285.49886093
