model,global_s_mm,distance_from_inlet_mm,pressure_loss_Pa,pressure_loss_mmHg,data_type
Analytical (Poiseuille),19.671598192628114,0.0,0.0,0.0,model
Analytical (Poiseuille),19.75311128718782,0.0815130945597069,0.7313042453483688,0.005485248086200093,model
Analytical (Poiseuille),19.834624381747528,0.1630261891194138,1.4626084906967376,0.010970496172400186,model
Analytical (Poiseuille),19.916137476307235,0.2445392836791207,2.1939127360451063,0.016455744258600278,model
Analytical (Poiseuille),19.99765057086694,0.3260523782388276,2.925216981393475,0.02194099234480037,model
Analytical (Poiseuille),20.07916366542665,0.4075654727985345,3.656521226741844,0.027426240431000466,model
Analytical (Poiseuille),20.160676759986355,0.4890785673582414,4.387825472090213,0.032911488517200556,model
Analytical (Poiseuille),20.242189854546062,0.5705916619179483,5.1191297174385815,0.03839673660340065,model
Analytical (Poiseuille),20.32370294910577,0.6521047564776552,5.85043396278695,0.04388198468960074,model
Analytical (Poiseuille),20.405216043665476,0.7336178510373621,6.581738208135319,0.04936723277580084,model
Analytical (Poiseuille),20.486729138225183,0.815130945597069,7.313042453483688,0.05485248086200093,model
Analytical (Poiseuille),20.56824223278489,0.8966440401567759,8.044346698832056,0.06033772894820102,model
Analytical (Poiseuille),20.649755327344597,0.9781571347164828,8.775650944180425,0.06582297703440111,model
Analytical (Poiseuille),20.731268421904304,1.0596702292761897,9.506955189528794,0.07130822512060121,model
Analytical (Poiseuille),20.81278151646401,1.1411833238358966,10.238259434877163,0.0767934732068013,model
Analytical (Poiseuille),20.894294611023717,1.2226964183956035,10.969563680225532,0.0822787212930014,model
Analytical (Poiseuille),20.97580770558342,1.3042095129553068,11.700867925573869,0.08776396937920125,model
Analytical (Poiseuille),21.05732080014313,1.3857226075150173,12.43217217092227,0.09324921746540159,model
Analytical (Poiseuille),21.138833894702834,1.4672357020747206,13.163476416270607,0.09873446555160144,model
Analytical (Poiseuille),21.22034698926254,1.5487487966344275,13.894780661618976,0.10421971363780153,model
Analytical (Poiseuille),21.30186008382225,1.6302618911941344,14.626084906967344,0.10970496172400163,model
Analytical (Poiseuille),21.383373178381955,1.7117749857538413,15.357389152315713,0.11519020981020171,model
Analytical (Poiseuille),21.464886272941662,1.7932880803135482,16.08869339766408,0.1206754578964018,model
Analytical (Poiseuille),21.54639936750137,1.8748011748732551,16.81999764301245,0.1261607059826019,model
Analytical (Poiseuille),21.627912462061076,1.956314269432962,17.55130188836082,0.13164595406880197,model
Analytical (Poiseuille),21.709425556620783,2.037827363992669,18.282606133709187,0.13713120215500207,model
Analytical (Poiseuille),21.79093865118049,2.119340458552376,19.013910379057556,0.14261645024120218,model
Analytical (Poiseuille),21.872451745740197,2.2008535531120827,19.745214624405925,0.14810169832740228,model
Analytical (Poiseuille),21.953964840299903,2.2823666476717897,20.476518869754294,0.15358694641360235,model
Analytical (Poiseuille),22.03547793485961,2.3638797422314966,21.207823115102663,0.15907219449980245,model
Analytical (Poiseuille),22.116991029419317,2.4453928367912035,21.93912736045103,0.16455744258600255,model
Analytical (Poiseuille),22.198504123979024,2.5269059313509104,22.6704316057994,0.17004269067220265,model
Analytical (Poiseuille),22.28001721853873,2.6084190259106173,23.40173585114777,0.17552793875840272,model
Analytical (Poiseuille),22.361530313098438,2.689932120470324,24.13304009649614,0.18101318684460282,model
Analytical (Poiseuille),22.443043407658145,2.771445215030031,24.864344341844507,0.18649843493080293,model
Analytical (Poiseuille),22.52455650221785,2.852958309589738,25.595648587192876,0.19198368301700303,model
Analytical (Poiseuille),22.60606959677756,2.934471404149445,26.326952832541245,0.1974689311032031,model
Analytical (Poiseuille),22.687582691337266,3.0159844987091518,27.058257077889614,0.2029541791894032,model
Analytical (Poiseuille),22.769095785896972,3.0974975932688587,27.789561323237983,0.2084394272756033,model
Analytical (Poiseuille),22.85060888045668,3.1790106878285656,28.520865568586352,0.2139246753618034,model
Analytical (Poiseuille),22.932121975016386,3.2605237823882725,29.25216981393472,0.21940992344800347,model
Analytical (Poiseuille),23.013635069576093,3.3420368769479794,29.98347405928309,0.22489517153420358,model
Analytical (Poiseuille),23.0951481641358,3.4235499715076863,30.71477830463146,0.23038041962040368,model
Analytical (Poiseuille),23.176661258695507,3.505063066067393,31.446082549979828,0.23586566770660378,model
Analytical (Poiseuille),23.258174353255214,3.5865761606271,32.1773867953282,0.24135091579280385,model
Analytical (Poiseuille),23.33968744781492,3.668089255186807,32.90869104067656,0.2468361638790039,model
