model,R_Pa_s_m3,R_mmHg_s_mL,dP_Pa,dP_mmHg,Q_m3_s,Q_mL_s,s_in_global_mm,s_out_global_mm,domain_length_mm,n_segments
Analytical (Poiseuille),141966042.79759076,1.0648358320276532,145.5295448243252,1.091564369153817,1.0251010872495414e-06,1.0251010872495414,19.671598192628114,35.892704010009766,16.221105817381652,1
CFD,347639821.35372883,2.6075202993784137,356.36595884094373,2.672971893918061,1.0251010872495414e-06,1.0251010872495414,19.671598192628114,35.892704010009766,16.221105817381652,3 area-averaged slices
Native 0D,169773557.3303539,1.273409919820839,174.0350582055681,1.3053738933226933,1.0251010872495414e-06,1.0251010872495414,19.671598192628114,35.892704010009766,16.221105817381652,53
0D (N=50),165207534.209882,1.2391618353301181,169.35442294036582,1.270266144675041,1.0251010872495414e-06,1.0251010872495414,19.671598192628114,35.892704010009766,16.221105817381652,23
1D,169792725.8117351,1.2735536956521436,174.05470783667292,1.305521278083684,1.0251010872495414e-06,1.0251010872495414,19.671598192628114,35.892704010009766,16.221105817381652,55
