segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
0,0.0,0.0002482348645571,0.00024823486,0.0017832203084366,0.0035664406168732,0.0035664406168732,0.0033317496158112533,9.989870897647876e-06,681.8874500000502,218801.824246972
1,0.0002482348645571,0.0004930639406666,0.00024482908,0.0015501392905284,0.0031002785810568,0.0033317496158112533,0.0027990213511184347,7.549032952915212e-06,929.6020499999958,377909.9057240845
2,0.0004930639406666,0.0007546332199126,0.00026156925,0.0012385828197776,0.0024771656395552,0.0027990213511184347,0.0025611607579419603,4.81947771035462e-06,908.1379,990591.64600661
3,0.0007546332199126,0.00103251170367,0.00027787854,0.0013251965437737,0.0026503930875474,0.0025611607579419603,0.002705095431681927,5.517094994076919e-06,595.0071000000002,803048.9698649859
4,0.00103251170367,0.0013134493492543,0.0002809376,0.0013801999967252,0.0027603999934504,0.002705095431681927,0.0027576527017233125,5.984583305905976e-06,285.4825399999753,690001.3133417425
5,0.0013134493492543,0.001589601044543,0.00027615167,0.0013774761059233,0.0027549522118466,0.0027576527017233125,0.0027359743403622414,5.960984891604335e-06,148.2698000000246,683627.4998080338
6,0.001589601044543,0.0018612071871757,0.00027160617,0.0013586544256114,0.0027173088512228,0.0027359743403622414,0.0026834214389166206,5.799197349364439e-06,152.94499999999914,710414.4493251884
7,0.0018612071871757,0.0021286639384925,0.0002674567,0.0013250258663138,0.0026500517326276,0.0026834214389166206,0.002620337450864041,5.515673947327376e-06,224.09282000000007,773328.8503883561
8,0.0021286639384925,0.0023921474348753,0.00026348358,0.0012955322976488,0.0025910645952976,0.002620337450864041,0.0025957316399105607,5.272861469600231e-06,279.564,833621.1956326718
9,0.0023921474348753,0.0026559277903288,0.0002637804,0.0013002019713724,0.0026004039427448,0.0025957316399105607,0.0025783665639870007,5.310941443347369e-06,188.58398000001722,822635.4849236339
10,0.0026559277903288,0.0029185214079916,0.00026259362,0.0012782141652792,0.0025564283305584,0.0025783665639870007,0.0024337352766669266,5.132832887813717e-06,239.11180000000036,876754.1728451997
11,0.0029185214079916,0.0031757792457938,0.00025725772,0.0011567676442087,0.0023135352884174,0.0024337352766669266,0.0023081965292400066,4.203800889538556e-06,453.61211999999966,1280536.7563888505
12,0.0031757792457938,0.003431208897382,0.0002554296,0.001151447854805,0.00230289570961,0.0023081965292400066,0.002400853321760866,4.165224581085461e-06,504.1315999999999,1295096.98219006
