s_m,radius_m,cumulative_resistance_Pa_s_m3,pressure_Pa,pressure_mmHg,flow_m3_s
0.0,0.001783220308436694,0.0,503.5896301269531,3.777243291631937,1.033396035006115e-06
0.00024892115707189204,0.0015501392905284757,322705.59467030404,503.2561474449465,3.7747419589036055,1.033396035006115e-06
0.0005045741346227721,0.001238582819777626,1051267.8767078794,502.5032540714339,3.7690947785919344,1.033396035006115e-06
0.0007769119599464158,0.0013251965437737097,2023400.0469460315,501.49865654120794,3.7615596566298732,1.033396035006115e-06
0.0010590278196422485,0.0013801999967252372,2829686.689526219,500.66544312168713,3.7553100247647584,1.033396035006115e-06
0.0013402719177911797,0.001377476105923392,3571178.350904049,499.8991885788292,3.749562627164528,1.033396035006115e-06
0.001616805047807231,0.0013586544256114338,4323835.259425805,499.1213959138429,3.7437286862921564,1.033396035006115e-06
0.0018889485736854454,0.0013250258663138152,5125048.850299663,498.2934249658408,3.737518376305792,1.033396035006115e-06
0.002156991417408197,0.001295532297648864,5992750.953523794,497.39674505280254,3.7307927052759675,1.033396035006115e-06
0.0024231782488845287,0.001300201971372401,6886779.401149629,496.47285959984333,3.72386297535173,1.033396035006115e-06
0.0026889158290115366,0.0012782141652792,7804157.484717597,495.52484472568267,3.7167522593846676,1.033396035006115e-06
0.002951360544852843,0.0011567676442087822,8970994.46572804,494.319040016008,3.70770795529626,1.033396035006115e-06
0.003210188563999399,0.0011514478548050886,10361333.0800363,492.8822696046659,3.6969312611921956,1.033396035006115e-06
0.003469781203770588,0.0012500464414120418,11571541.783418965,491.6316447290604,3.687550777284022,1.033396035006115e-06
0.0037340004741960755,0.0012780359579823927,12559010.792312905,490.61119817057795,3.6798967775054225,1.033396035006115e-06
0.004001083692587619,0.0012774169390563105,13513930.757881394,489.6243876644113,3.6724950695639977,1.033396035006115e-06
0.004265721888133196,0.0012556264812115634,14494763.561769728,488.61079893386915,3.6648925078671875,1.033396035006115e-06
0.004528113121671012,0.0012244178515614663,15553994.714417081,487.51619366056843,3.6566822704472512,1.033396035006115e-06
0.004792538798524917,0.0011621162070350446,16805352.22206042,486.2230457737947,3.6469828368445922,1.033396035006115e-06
0.0050611001267327205,0.0011116398177449113,18344918.4574697,484.63206413049346,3.6350494601828167,1.033396035006115e-06
0.005332884263285828,0.0010447368890896642,20279966.168197997,482.63239349867916,3.620050655545815,1.033396035006115e-06
0.005606203753351459,0.0010182590402994115,22584504.768374994,480.2508924467377,3.602187879320275,1.033396035006115e-06
0.0058835429968561725,0.001012674760660273,25070227.758580267,477.682156164536,3.5829207194951773,1.033396035006115e-06
0.006169491598244154,0.0009831710201965796,27823951.849151473,474.8364686078389,3.561576248539918,1.033396035006115e-06
0.006462907269547659,0.0009666105772396382,30921687.39870556,471.63528097343226,3.5375653003512717,1.033396035006115e-06
0.00675801392198967,0.0009554790247017032,34219468.13796269,468.2273674331644,3.5120037760696987,1.033396035006115e-06
0.007050522157286691,0.0009609668989025995,37526048.420579605,464.8103604796787,3.4863740453914485,1.033396035006115e-06
0.00734030032669167,0.0009158254492334872,41107859.81850829,461.10893078291946,3.4586109628037343,1.033396035006115e-06
