model_type,discretisation,radius_estimator,n_segments,total_length_mm,mean_radius_mm,R_total_Pa_s_m3,R_total_mmHg_s_mL
0D_series,native,ce_radius,123,35.892706364393234,1.0991423877932787,313616833.3618478,2.352320692650543
0D_series,N=5,ce_radius,5,35.892706364393234,1.1305522348139125,220823141.55552065,1.6563104720141693
0D_series,N=10,ce_radius,10,35.892706364393234,1.1208277139629614,242159113.27150527,1.816343488186518
0D_series,N=20,ce_radius,20,35.892706364393234,1.1018335847089213,283869023.28951377,2.129193673465793
0D_series,N=50,ce_radius,50,35.892702639102936,1.0970719906633448,304998846.9630695,2.2876804515081384
0D_series,native,mis_radius,123,35.892706364393234,0.9106197372672941,727519239.9822086,5.456845361795353
0D_series,native,voreen_radius,123,35.892706364393234,1.10999762721178,279002815.4583098,2.092694097682908
