segment_id,length_m,diameter_m,area_m2,curvature_mean_per_m,resistance_segment_raw,resistance_segment_kR,recommended_division_pts,wall_stiffness_E_Pa,wall_thickness_m,pwv_m_per_s,outlet_resistance_Pa_s_m3,outlet_compliance_m3_per_Pa
0,0.00024823486,0.0035664406168732,9.989870897647876e-06,681.8874500000502,218801.824246972,240591.89594273022,5,,,,,
1,0.00024482908,0.0031002785810568,7.549032952915212e-06,929.6020499999958,377909.9057240845,415545.2589420273,5,,,,,
2,0.00026156925,0.0024771656395552,4.81947771035462e-06,908.1379,990591.64600661,1089242.8481251951,5,,,,,
3,0.00027787854,0.0026503930875474,5.517094994076919e-06,595.0071000000002,803048.9698649859,883023.1414185624,5,,,,,
4,0.0002809376,0.0027603999934504,5.984583305905976e-06,285.4825399999753,690001.3133417425,758717.2764724382,5,,,,,
5,0.00027615167,0.0027549522118466,5.960984891604335e-06,148.2698000000246,683627.4998080338,751708.7065588278,5,,,,,
6,0.00027160617,0.0027173088512228,5.799197349364439e-06,152.94499999999914,710414.4493251884,781163.319165622,5,,,,,
7,0.0002674567,0.0026500517326276,5.515673947327376e-06,224.09282000000007,773328.8503883561,850343.2498448257,5,,,,,
8,0.00026348358,0.0025910645952976,5.272861469600231e-06,279.564,833621.1956326718,916639.9989833984,5,,,,,
9,0.0002637804,0.0026004039427448,5.310941443347369e-06,188.58398000001722,822635.4849236339,904560.241527709,5,,,,,
10,0.00026259362,0.0025564283305584,5.132832887813717e-06,239.11180000000036,876754.1728451997,964068.510152954,5,,,,,
11,0.00025725772,0.0023135352884174,4.203800889538556e-06,453.61211999999966,1280536.7563888505,1408063.0593655172,5,,,,,
12,0.0002554296,0.00230289570961,4.165224581085461e-06,504.1315999999999,1295096.98219006,1424073.3113043362,5,,,,,
13,0.00025877243,0.002500092882824,4.909103278007086e-06,430.61995999998925,944542.6703874798,1038607.9396249731,5,,,,,
14,0.00026459395,0.0025560719159646,5.13140175907973e-06,374.7381600000188,883925.7861504412,971954.3312516327,5,,,,,
15,0.00026444526,0.0025548338781126,5.126432156259838e-06,473.79284999998146,885142.6539324685,973292.3846604521,5,,,,,
16,0.00025975084,0.002511252962423,4.953028255645858e-06,562.1216999999704,931372.2297958148,1024125.8790514144,5,,,,,
17,0.0002599946,0.0024488357031228,4.709872800987294e-06,406.14996000000053,1030988.6410780431,1133662.9057187494,5,,,,,
18,0.00026378073,0.00232423241407,4.242765108067483e-06,317.5394600000006,1289000.3130833392,1417369.48612203,5,,,,,
19,0.00026818665,0.0022232796354898,3.882201395662675e-06,487.6795000000005,1565268.8245621575,1721151.0711006783,5,,,,,
20,0.00027016454,0.0020894737781792,3.428970367557281e-06,622.3568999999748,2021197.7797167648,2222485.1532700276,5,,,,,
21,0.00027122782,0.0020365180805988,3.25736497091644e-06,601.7156,2248585.0626591183,2472517.517966475,5,,,,,
22,0.0002781267,0.0020253495213204,3.221735219013009e-06,494.9026,2357061.6467581885,2591797.085783641,5,,,,,
23,0.00028828095,0.001966342040393,3.0367427997390507e-06,345.17952999997465,2749842.4925401565,3023694.2543831416,5,,,,,
24,0.00029291766,0.0019332211544792,2.9353031388163206e-06,196.07881,2990525.9046512702,3288346.8853247217,5,,,,,
25,0.0002916306,0.0019109580494034,2.8680861206987155e-06,114.83973999999752,3118578.2025435446,3429151.676307409,5,,,,,
26,0.00028777093,0.001921933797805,2.9011269233820745e-06,100.25348000000253,3007609.083802256,3307131.346902271,5,,,,,
27,0.00028622296,0.0018316508984668,2.6349676521810454e-06,74.33955400000455,3626283.760918424,3987418.6984881675,5,,,,,
28,0.0002881948,0.0017234602507894,2.332880131106232e-06,46.66660300000008,4658104.193327193,5121996.23210811,5,,,,,
29,0.00028675148,0.0017523441797728,2.411730092016982e-06,60.291397000000124,4336668.205765798,4768549.025085153,5,,,,,
30,0.00028125048,0.001886216615236,2.794299889839477e-06,79.9085850000172,3168510.544886193,3484056.688888653,5,,,,,
31,0.0002790529,0.0019584253932618,3.012339694311428e-06,179.06941,2705120.3009499847,2974518.2618957646,5,,,,,
32,0.00027728154,0.002039688536395,3.267515011377433e-06,345.4764000000121,2284513.297880449,2512023.7801264254,5,,,,,
33,0.00027151554,0.0019994365949462,3.139822913717296e-06,413.8121299999994,2422659.035041091,2663927.19745063,5,,,,,
34,0.00026942178,0.0020600903228158,3.3332079228203208e-06,316.07962,2133122.581582287,2345556.3405259675,5,,,,,
35,0.00027375462,0.0020601605821718,3.3334352847309253e-06,124.63958999999993,2167131.736536012,2382952.4047401813,5,,,,,
36,0.00027736975,0.001900664566578,2.8372711243406845e-06,112.31837500002229,3030856.341327688,3332693.756094982,5,,,,,
37,0.0002791418,0.0016437904918104,2.1221828933445267e-06,235.5918,5452141.803932701,5995110.589554141,5,,,,,
38,0.0002883659,0.0015652421330984,1.924212097682228e-06,292.5342699999899,6850873.531931878,7533139.440605781,5,,,,,
39,0.00030568964,0.0016940717870108,2.2539978682041326e-06,330.76819999999975,5292753.068621493,5819848.622921025,5,,,,,
40,0.00031947048,0.0016560835573038,2.154043015796381e-06,359.73776,6056613.850962122,6659780.897215911,5,,,,,
41,0.00032084028,0.0015868574681478,1.9777241718803944e-06,379.62598,7215482.497888345,7934059.143625116,5,,,,,
42,0.0003121407,0.0016423217134636,2.1183921137755955e-06,394.28687,6118509.482446508,6727840.600925658,5,,,,,
43,0.0002992659,0.0016456549987864,2.1269998926983547e-06,394.32604999999415,5818757.1046854025,6398236.434566045,5,,,,,
44,0.00028425522,0.001590958728302,1.987960306155177e-06,360.43744,6327045.360884965,6957144.184377319,5,,,,,
45,0.0002728077,0.0016467847236256,2.1299212211722326e-06,245.2276599999997,5289778.217281804,5816577.511601791,5,,,,,
46,0.00027264009,0.001874922327148,2.7609366575003377e-06,201.9748,3146188.6240907684,3459511.7690108707,5,,,,,
47,0.00030822004,0.0027897639625658,6.11258344827063e-06,451.91460000006424,725636.6290241143,797901.4477746947,5,,,,,
48,0.00028507796,0.0028654975616582,6.44896422658439e-06,830.5588400000016,602964.32311176,663012.4322891284,5,,,,,
49,0.000255907,0.002754370589215,5.958468203492002e-06,1077.802200000001,634046.1362439429,697189.6260878819,5,,,,,
50,0.00024105012,0.0028712716320582,6.474980155268263e-06,1201.9776999999747,505752.891139065,556119.8924023542,5,,,,,
51,0.0002514485,0.0028329587130662,6.303334751990517e-06,1128.214499999997,556693.6197445566,612133.7145817592,5,,,,,
52,0.00029814392,0.0036602138925048,1.0522109366052691e-05,653.3064,236879.9202789662,260470.35634561427,5,,,,,
53,0.00028096116,0.0025010050259566,4.91268604224997e-06,241.42330999999953,1024038.2609682672,1126020.3500230247,5,,,,,
54,0.00029137966,0.0025707089847464,5.1903388577449264e-06,166.51326,951427.5171857288,1046178.435667073,5,,,,,
