segment_id,s_start_m,s_end_m,length_m,radius_m,area_m2,resistance_Pa_s_m3
0,0.0,0.00024823486455716193,0.00024823486,0.001783220308436694,9.989870897647876e-06,218801.82424697198
1,0.00024823486455716193,0.000493063940666616,0.00024482908,0.0015501392905284757,7.549032952915212e-06,377909.9057240845
2,0.000493063940666616,0.0007546332199126482,0.00026156925,0.001238582819777626,4.81947771035462e-06,990591.64600661
3,0.0007546332199126482,0.0010325117036700249,0.00027787854,0.0013251965437737097,5.517094994076919e-06,803048.9698649859
4,0.0010325117036700249,0.0013134493492543697,0.0002809376,0.0013801999967252372,5.984583305905976e-06,690001.3133417425
5,0.0013134493492543697,0.0015896010445430875,0.00027615167,0.001377476105923392,5.960984891604335e-06,683627.4998080338
6,0.0015896010445430875,0.0018612071871757507,0.00027160617,0.0013586544256114338,5.799197349364439e-06,710414.4493251884
7,0.0018612071871757507,0.0021286639384925365,0.0002674567,0.0013250258663138152,5.515673947327376e-06,773328.8503883561
8,0.0021286639384925365,0.002392147434875369,0.00026348358,0.001295532297648864,5.272861469600231e-06,833621.1956326718
9,0.002392147434875369,0.0026559277903288603,0.0002637804,0.001300201971372401,5.310941443347369e-06,822635.4849236339
10,0.0026559277903288603,0.0029185214079916477,0.00026259362,0.0012782141652792,5.132832887813717e-06,876754.1728451997
11,0.0029185214079916477,0.0031757792457938194,0.00025725772,0.0011567676442087822,4.203800889538556e-06,1280536.7563888503
12,0.0031757792457938194,0.003431208897382021,0.0002554296,0.0011514478548050886,4.165224581085461e-06,1295096.98219006
13,0.003431208897382021,0.003689981298521161,0.00025877243,0.0012500464414120418,4.909103278007086e-06,944542.6703874798
14,0.003689981298521161,0.0039545753970742226,0.00026459395,0.0012780359579823927,5.13140175907973e-06,883925.7861504412
15,0.0039545753970742226,0.004219020716845989,0.00026444526,0.0012774169390563105,5.126432156259838e-06,885142.6539324685
16,0.004219020716845989,0.004478771705180407,0.00025975084,0.0012556264812115634,4.953028255645858e-06,931372.2297958147
17,0.004478771705180407,0.004738766234368086,0.0002599946,0.0012244178515614663,4.709872800987294e-06,1030988.6410780431
18,0.004738766234368086,0.005002547055482864,0.00026378073,0.0011621162070350446,4.242765108067483e-06,1289000.3130833392
19,0.005002547055482864,0.005270733498036861,0.00026818665,0.0011116398177449113,3.882201395662675e-06,1565268.8245621577
20,0.005270733498036861,0.005540898069739342,0.00027016454,0.0010447368890896642,3.4289703675572815e-06,2021197.7797167646
21,0.005540898069739342,0.005812125746160746,0.00027122782,0.0010182590402994115,3.2573649709164394e-06,2248585.0626591183
22,0.005812125746160746,0.006090252660214901,0.0002781267,0.001012674760660273,3.2217352190130095e-06,2357061.6467581885
23,0.006090252660214901,0.006378533784300089,0.00028828095,0.0009831710201965796,3.0367427997390507e-06,2749842.4925401565
24,0.006378533784300089,0.006671451497823,0.00029291766,0.0009666105772396382,2.9353031388163206e-06,2990525.9046512702
25,0.006671451497823,0.0069630821235477924,0.0002916306,0.0009554790247017032,2.8680861206987155e-06,3118578.2025435446
26,0.0069630821235477924,0.007250852882862091,0.00028777093,0.0009609668989025995,2.9011269233820745e-06,3007609.0838022553
27,0.007250852882862091,0.007537075784057379,0.00028622296,0.0009158254492334872,2.6349676521810454e-06,3626283.760918424
28,0.007537075784057379,0.007825270295143127,0.0002881948,0.0008617301253947499,2.332880131106232e-06,4658104.193327193
29,0.007825270295143127,0.00811202172189951,0.00028675148,0.0008761720898864268,2.4117300920169826e-06,4336668.205765798
30,0.00811202172189951,0.008393271826207638,0.00028125048,0.0009431083076180502,2.794299889839477e-06,3168510.544886193
31,0.008393271826207638,0.008672324940562248,0.0002790529,0.0009792126966309135,3.012339694311428e-06,2705120.3009499847
32,0.008672324940562248,0.00894960667937994,0.00027728154,0.0010198442681975412,3.267515011377433e-06,2284513.297880449
33,0.00894960667937994,0.009221122600138187,0.00027151554,0.0009997182974731485,3.139822913717296e-06,2422659.035041091
34,0.009221122600138187,0.009490543976426125,0.00026942178,0.0010300451614079092,3.3332079228203208e-06,2133122.581582287
35,0.009490543976426125,0.009764298796653748,0.00027375462,0.0010300802910859583,3.3334352847309253e-06,2167131.736536012
36,0.009764298796653748,0.010041669011116028,0.00027736975,0.0009503322832890816,2.8372711243406845e-06,3030856.3413276877
37,0.010041669011116028,0.010320810601115227,0.0002791418,0.0008218952459052698,2.1221828933445267e-06,5452141.803932701
38,0.010320810601115227,0.010609176941215992,0.0002883659,0.0007826210665492613,1.924212097682228e-06,6850873.531931878
39,0.010609176941215992,0.01091486681252718,0.00030568964,0.000847035893505443,2.2539978682041326e-06,5292753.068621493
40,0.01091486681252718,0.011234337463974953,0.00031947048,0.0008280417786519804,2.154043015796381e-06,6056613.850962122
41,0.011234337463974953,0.011555178090929985,0.00032084028,0.0007934287340739432,1.9777241718803944e-06,7215482.497888345
42,0.011555178090929985,0.011867319233715534,0.0003121407,0.0008211608567318279,2.1183921137755955e-06,6118509.482446508
43,0.011867319233715534,0.012166584841907024,0.0002992659,0.0008228274993932497,2.1269998926983547e-06,5818757.1046854025
44,0.012166584841907024,0.012450840324163437,0.00028425522,0.0007954793641510433,1.987960306155177e-06,6327045.360884965
45,0.012450840324163437,0.012723647989332676,0.0002728077,0.0008233923618128686,2.1299212211722326e-06,5289778.217281804
46,0.012723647989332676,0.012996288016438484,0.00027264009,0.0009374611635740373,2.7609366575003377e-06,3146188.6240907684
47,0.012996288016438484,0.013304508291184902,0.00030822004,0.0013948819812829856,6.11258344827063e-06,725636.6290241143
48,0.013304508291184902,0.0135895861312747,0.00028507796,0.0014327487808291498,6.44896422658439e-06,602964.32311176
49,0.0135895861312747,0.013845493085682392,0.000255907,0.0013771852946075466,5.958468203492002e-06,634046.1362439429
50,0.013845493085682392,0.014086543582379818,0.00024105012,0.001435635816029171,6.474980155268263e-06,505752.891139065
51,0.014086543582379818,0.014337992295622826,0.0002514485,0.0014164793565331032,6.303334751990517e-06,556693.6197445566
52,0.014337992295622826,0.014636136591434479,0.00029814392,0.0018301069462524943,1.0522109366052691e-05,236879.9202789662
53,0.014636136591434479,0.014917097985744476,0.00028096116,0.0012505025129783966,4.91268604224997e-06,1024038.2609682671
54,0.014917097985744476,0.015208478085696697,0.00029137966,0.0012853544923732494,5.1903388577449264e-06,951427.5171857288
55,0.015208478085696697,0.015508364886045456,0.00029988674,0.0013374409038464478,5.619518114020462e-06,835347.2071884042
