s_m,r_m,area_m2,dA_ds,kappa_per_m,Rc_m,r_mis_m,r_voreen_m
0.00012411743227858096,0.001783220308436694,9.989870897647876e-06,-0.00990069540040865,681.88745,0.0014665177,0.0013697591790784642,0.0016094508171081543
0.00037064940261188895,0.0015501392905284757,7.549032952915212e-06,-0.010334614739093658,929.60205,0.0010757291,0.0013586344876882945,0.0014963995218276978
0.0006238485802896321,0.001238582819777626,4.81947771035462e-06,-0.004308125977529026,908.1379,0.0011011544,0.0009348906925421572,0.0013875833749771118
0.0008935724617913365,0.0013251965437737097,5.517094994076919e-06,0.0021378284790858036,595.0071,0.0016806523,0.0011230607932244977,0.0013794201016426087
0.0011729805264621973,0.0013801999967252372,5.984583305905976e-06,0.0007928488287639607,285.48254,0.003502841,0.0011567578814917886,0.0014072760939598083
0.0014515251968987286,0.001377476105923392,5.960984891604335e-06,-0.00033986031552444944,148.2698,0.0067444616,0.0011733758175465376,0.0014225488901138306
0.001725404115859419,0.0013586544256114338,5.799197349364439e-06,-0.0008231641570906195,152.945,0.006538298,0.0011607699132844954,0.0013666911721229554
0.0019949355628341436,0.0013250258663138152,5.515673947327376e-06,-0.0009827605114135808,224.09282,0.004462437,0.0011170867170767456,0.001346382737159729
0.002260405686683953,0.001295532297648864,5.272861469600231e-06,-0.00038326383088941283,279.564,0.0035769986,0.0011148018309662514,0.0013488287329673767
0.0025240376126021147,0.001300201971372401,5.310941443347369e-06,-0.0002664937692866947,188.58398,0.0053026774,0.0011234585547012447,0.0012783433794975282
0.002787224599160254,0.0012782141652792,5.132832887813717e-06,-0.002134511294300822,239.1118,0.004182144,0.0011317627169879407,0.0012065813541412354
0.0030471503268927336,0.0011567676442087822,4.203800889538556e-06,-0.0018504765423704283,453.61212,0.0022045267,0.0010524724246823572,0.001217312753200531
0.00330349407158792,0.0011514478548050886,4.165224581085461e-06,0.0013691781469603644,504.1316,0.001983609,0.0010566859649631182,0.0012412050366401672
0.003560595097951591,0.0012500464414120418,4.909103278007086e-06,0.0018804396050033385,430.61996,0.0023222333,0.0010707901394809065,0.001310182273387909
0.003822278347797692,0.0012780359579823927,5.13140175907973e-06,0.00041769382022113777,374.73816,0.00266853,0.001054292908105677,0.0012853925228118897
0.004086798056960106,0.0012774169390563105,5.126432156259838e-06,-0.00034167110585546674,473.79285,0.002110627,0.0010142611767571788,0.0011302404999732972
0.004348896211013198,0.0012556264812115634,4.953028255645858e-06,-0.000799219389048875,562.1217,0.0017789742,0.0009488009413328387,0.0011941465735435487
0.004608768969774246,0.0012244178515614663,4.709872800987294e-06,-0.0013580075426845636,406.14996,0.0024621447,0.0009119277779135962,0.0012808204293251037
0.004870656644925475,0.0011621162070350446,4.242765108067483e-06,-0.0015712629127544436,317.53946,0.003149215,0.0008890283501590396,0.0012174125909805299
0.005136640276759863,0.0011116398177449113,3.882201395662675e-06,-0.001518701901579371,487.6795,0.002050527,0.0008488246390542467,0.0011447991132736207
0.005405815783888102,0.0010447368890896642,3.4289703675572815e-06,-0.0011603366133546454,622.3569,0.0016067951,0.0007643832684324636,0.0010988541841506958
0.005676511907950044,0.0010182590402994115,3.2573649709164394e-06,-0.00038366842189282123,601.7156,0.0016619148,0.0007744188577993155,0.0010841821432113648
0.005951189203187823,0.001012674760660273,3.2217352190130095e-06,-0.00038746315064976805,494.9026,0.0020205996,0.0007778491356996654,0.0010746155977249146
0.006234393222257495,0.0009831710201965796,3.0367427997390507e-06,-0.000503101434691974,345.17953,0.002897043,0.0008117877016882039,0.001030309498310089
0.006524992641061544,0.0009666105772396382,2.9353031388163206e-06,-0.0002896959654537989,196.07881,0.00509999,0.0008722344004886641,0.0009862896502017976
0.006817266810685396,0.0009554790247017032,2.8680861206987155e-06,-5.720326099131843e-05,114.83974,0.008707787,0.0008672302907010163,0.0009876561462879181
0.007106967503204942,0.0009609668989025995,2.9011269233820745e-06,-0.00040911289831939944,100.25348,0.009974716,0.0008537791444124673,0.0009785996973514558
0.007393964333459735,0.0009158254492334872,2.6349676521810454e-06,-0.0009895767224291372,74.339554,0.0134517895,0.0008296930294905667,0.0009462363719940185
0.007681173039600253,0.0008617301253947499,2.332880131106232e-06,-0.00038906407924618747,46.666603,0.0214286,0.0007415765389885149,0.0008838897049427033
0.007968646008521318,0.0008761720898864268,2.4117300920169826e-06,0.000813938881100775,60.291397,0.016586114,0.0007406469535554458,0.000900194525718689
0.008252646774053574,0.0009431083076180502,2.794299889839477e-06,0.001060742278570728,79.908585,0.0125143,0.0007577444695939572,0.0009874889850616454
0.008532798383384943,0.0009792126966309135,3.012339694311428e-06,0.0008480653461724538,179.06941,0.0055844267,0.0008388309869604602,0.0010095749497413635
