model,R_Pa_s_m3,dP_Pa,R_err_pct,dP_err_pct,arc_mm,tortuosity,n_segments
CFD (reference),344849357.6219644,356.3659588409438,0.0,0.0,35.892703488469124,1.4228200205976111,full 3D
Poiseuille,216224384.6867392,223.44542180691323,-37.298887207505906,-37.298887207505906,35.89270492000001,1.4228200205976111,1
0D native,313616833.3618478,324.090392107307,-9.056860211511466,-9.056860211511465,35.89270492000001,1.4228200205976111,123
0D N=50,304998846.9630695,315.1845991330729,-11.555918483855894,-11.555918483855894,35.89270492000001,1.4228200205976111,50
1D Nb02,337708489.7754258,348.98661432182814,-2.070720936173721,-2.070720936173721,35.89270492000001,1.4228200205976111,123
