Method,Radius Used [m],Radius Used [mm],R_Poiseuille [Pa·s/m³],R_Poiseuille [mmHg·s/mL]
Mean radius,0.001099142387793225,1.0991423877932252,250490043.4886158,1.8788350271419256
Minimum radius,0.000711892683561,0.711892683561,1423469532.5442317,10.676929033049547
Maximum radius,0.0018301069462524,1.8301069462524,32591204.890597038,0.24445481533878158
