point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.0017832203084366,100659.385729927,659.3857299269584,4.945799717020916,1.021374473892861e-06,1.021374473892861,1.003933610276521e-05,0.1017372643369624
1,0.0008973177522420874,0.8973177522420874,0.001317534034631694,100618.4013759694,618.4013759694499,4.638391781110952,1.015626272802445e-06,1.015626272802445,5.47880067576104e-06,0.1853738533102623
2,0.001794635504484175,1.794635504484175,0.00134815117593261,100627.6842015469,627.6842015468574,4.708018699059241,1.02047487274722e-06,1.02047487274722,5.736792868167717e-06,0.177882487963825
3,0.002691953256726262,2.691953256726262,0.001279262230545742,100620.1744217256,620.1744217255618,4.65169071798636,1.020368605055525e-06,1.020368605055525,5.165195104021622e-06,0.197546986867682
4,0.00358927100896835,3.58927100896835,0.001239188300540564,100614.0069481921,614.0069481920509,4.605430862074479,1.020427486617384e-06,1.020427486617384,4.84643219356331e-06,0.2105523359554893
5,0.004486588761210437,4.486588761210437,0.001238630277988451,100610.6178220441,610.6178220440779,4.580010325379743,1.020462882325372e-06,1.020462882325372,4.841945552942237e-06,0.2107547490021271
6,0.005383906513452524,5.383906513452525,0.001058711878961973,100574.3481544299,574.3481544298993,4.307965445302466,1.018789896604661e-06,1.018789896604661,3.53650448487467e-06,0.28807826690746
7,0.006281224265694612,6.281224265694612,0.0009827983278372851,100551.955336815,551.9553368149936,4.140005500164786,1.01952620361035e-06,1.01952620361035,3.04701557956542e-06,0.3345983638357695
8,0.007178542017936699,7.178542017936699,0.0009433372596827675,100531.7346139022,531.7346139022266,3.988337605151346,1.019658359033832e-06,1.019658359033832,2.806817041353695e-06,0.3632793302040916
9,0.008075859770178787,8.075859770178786,0.000904794495059374,100507.0247719276,507.0247719276376,3.802998548057874,1.019640542935757e-06,1.019640542935757,2.5816638773192e-06,0.3949549147694372
10,0.008973177522420875,8.973177522420874,0.001010132613605864,100519.9161365121,519.9161365120672,3.899691734488748,1.019423182645135e-06,1.019423182645135,3.218092279241117e-06,0.3167788070348553
11,0.009870495274662962,9.870495274662963,0.000950592166096466,100495.6146653611,495.6146653611067,3.71741571047633,1.019596835376251e-06,1.019596835376251,2.849385189542851e-06,0.3578305722094395
12,0.01076781302690505,10.76781302690505,0.0008262707214182875,100417.6527548241,417.6527548240992,3.132653290587362,1.018402533886644e-06,1.018402533886644,2.151562282022516e-06,0.4733318695428733
13,0.01166513077914714,11.66513077914714,0.000812602321652416,100395.4313491909,395.4313491908833,2.965979041047961,1.0191900115408e-06,1.0191900115408,2.080621300761606e-06,0.4898491221527533
14,0.01256244853138922,12.56244853138922,0.000838655559145154,100392.3502547501,392.3502547501266,2.942868932166931,1.019151801043096e-06,1.019151801043096,2.216124532294663e-06,0.4598804252645395
15,0.01345976628363131,13.45976628363131,0.001408516884480963,100303.0524936393,303.0524936392758,2.273080640446438,1.034944435965765e-06,1.034944435965765,6.246842236413795e-06,0.165674819920852
16,0.0143570840358734,14.3570840358734,0.001600981834623347,100311.1933892029,311.1933892029338,2.334142378891243,1.039222104152563e-06,1.039222104152563,8.071155572864808e-06,0.1287575356541099
17,0.01525440178811549,15.25440178811549,0.001314842831149423,100288.3034023404,288.3034023404034,2.162453357717164,1.036768328548798e-06,1.036768328548799,5.44297227710162e-06,0.1904783431720806
18,0.01615171954035757,16.15171954035757,0.00126423257519591,100285.3363319995,285.336331999526,2.140198499921079,1.038491928045616e-06,1.038491928045616,5.031908507511591e-06,0.2063813249911521
19,0.01704903729259966,17.04903729259966,0.001301256856433919,100284.5759515155,284.5759515154932,2.134495177249576,1.038516068606267e-06,1.038516068606267,5.330922523875049e-06,0.1948098254809399
20,0.01794635504484175,17.94635504484175,0.001332713786559838,100283.5277511621,283.5277511621243,2.126633028016157,1.038521043179713e-06,1.038521043179713,5.591736262372453e-06,0.1857242569145093
21,0.01884367279708384,18.84367279708384,0.001287045515974498,100277.6302918046,277.6302918046276,2.082398444982823,1.038484753523327e-06,1.038484753523327,5.21484640360902e-06,0.1991400506357518
22,0.01974099054932592,19.74099054932593,0.001190388737435447,100264.1716025482,264.1716025482165,1.981449973557449,1.038203541120945e-06,1.038203541120945,4.460540993775813e-06,0.2327528372992404
23,0.02063830830156801,20.63830830156801,0.001181530534744288,100259.7092262652,259.7092262652295,1.94797939881498,1.038436392744022e-06,1.038436392744022,4.394255406779629e-06,0.236316811448895
24,0.0215356260538101,21.5356260538101,0.001138797406218832,100249.8619955379,249.8619955379254,1.874119094088738,1.03837871752548e-06,1.03837871752548,4.081842953637993e-06,0.2543896880045221
25,0.02243294380605219,22.43294380605219,0.001117770224270816,100242.0826026197,242.0826026196883,1.815768848477761,1.038415177306385e-06,1.038415177306385,3.932268011112149e-06,0.2640753924972613
26,0.02333026155829427,23.33026155829427,0.001037018196794874,100220.2120823107,220.2120823107107,1.651726455314015,1.038125512081168e-06,1.038125512081169,3.384072169595543e-06,0.3067681503000424
27,0.02422757931053636,24.22757931053636,0.000997659302381668,100204.0283559406,204.0283559406089,1.530338524594829,1.038273599513374e-06,1.038273599513374,3.131689545567699e-06,0.3315378610782883
28,0.02512489706277845,25.12489706277845,0.001015484069379475,100199.9729141817,199.9729141816933,1.499920209800754,1.038311854122933e-06,1.038311854122933,3.244495821742956e-06,0.3200225755560568
29,0.02602221481502053,26.02221481502053,0.000950839572344457,100172.2142757272,172.2142757271504,1.291713298455293,1.038096384376306e-06,1.038096384376306,2.843970795486537e-06,0.3650165662857661
30,0.02691953256726262,26.91953256726262,0.0009898168761558095,100173.0596227647,173.0596227647184,1.29805392268999,1.038193706546718e-06,1.038193706546718,3.081932305741581e-06,0.3368645605594484
31,0.02781685031950471,27.81685031950471,0.0008876042441058525,100121.8044928273,121.804492827272,0.9136088313948342,1.037505955331545e-06,1.037505955331545,2.477338032490375e-06,0.4187987450058061
32,0.0287141680717468,28.7141680717468,0.0009738498056333095,100136.3195672997,136.319567299739,1.022480843572618,1.037734830869401e-06,1.037734830869401,2.982481435822228e-06,0.3479434617912682
33,0.02961148582398889,29.61148582398889,0.0009317119914537065,100113.6240317121,113.6240317120828,0.8522503269075058,1.037909877602632e-06,1.037909877602631,2.729501051420649e-06,0.3802563034210193
34,0.03050880357623097,30.50880357623097,0.0009841975435574571,100117.3565444574,117.3565444574488,0.8802464749009615,1.037871463806614e-06,1.037871463806614,3.045766470638498e-06,0.3407587444801162
35,0.03140612132847306,31.40612132847306,0.0009732787306706845,100105.8099869889,105.8099869888829,0.7936401713843162,1.037967364960231e-06,1.037967364960231,2.978303274616952e-06,0.3485096632369289
36,0.03230343908071515,32.30343908071514,0.0007392709867803765,99894.52275209647,-105.477247903531,-0.791144422993829,1.030659733112913e-06,1.030659733112913,1.715590257955297e-06,0.6007611685866981
37,0.03320075683295724,33.20075683295724,0.000813364555746495,99948.97039547082,-51.02960452917614,-0.3827535116176164,1.033998268705803e-06,1.033998268705803,2.077562662345219e-06,0.4976978364736673
38,0.03409807458519933,34.09807458519933,0.0009575755933789335,99981.5026214188,-18.49737858120352,-0.1387417494805037,1.03385847099624e-06,1.03385847099624,2.880286964148023e-06,0.3589429098744846
39,0.03499539233744141,34.99539233744141,0.001157187219375695,99995.47372576753,-4.526274232470314,-0.03394984877909094,1.03438903454493e-06,1.03438903454493,4.206708187709432e-06,0.2458903729353694
40,0.0358927100896835,35.8927100896835,0.0012410870647577,100000,0,0,1.035212681184121e-06,1.035212681184121,4.838986060961793e-06,0.2139317344879548
