global_s_mm,radius_CFD_equivalent_mm,radius_ROM_ce_mm,difference_CFD_minus_ROM_mm,relative_difference_pct,centreline_to_section_centroid_mm
19.67159403778693,1.2462327684929757,1.192195443339231,0.05403732515374471,4.53258947227571,0.3249200458987516
19.937711977519893,1.2377667131338161,1.1858451878705507,0.05192152526326543,4.378440440147344,0.17417738378902242
20.21402281770878,1.2605312215198032,1.2037455205403353,0.05678570097946789,4.7174174283928405,0.10866271597414087
20.491075023966566,1.2602517154982429,1.1913775406278826,0.0688741748703603,5.781053656094781,0.1526042767500492
20.767386074229545,1.2267201424175929,1.1729215937517,0.053798548665892953,4.58671312323727,0.13331403915830517
21.045581339616696,1.2166903595390883,1.1628697520085285,0.05382060753055984,4.628257587541508,0.10977120174710933
21.330026307919745,1.2000504290013139,1.1462309506955801,0.05381947830573375,4.695343313934585,0.13840624007458965
21.621840773199448,1.1843152929119853,1.1355829321849265,0.04873236072705889,4.291396017488132,0.05864226747165732
21.921793033899597,1.1834371384109041,1.1335219601199893,0.04991517829091485,4.4035475312389245,0.09504153159480663
22.23072538452948,1.174786239913016,1.121588674492486,0.05319756542053011,4.743054796322884,0.04302498742372678
22.54052543527844,1.1594095862792588,1.1156205363957779,0.04378904988348098,3.9250846013421143,0.13151835401566056
22.842746380852404,1.1795418713755752,1.1197689422221788,0.05977292915339638,5.337969906075189,0.10866728469719664
23.139159647664794,1.1466572606059529,1.0810578974942198,0.06559936311173309,6.06807121651723,0.15808381191320894
23.434715047157983,1.0700149084557529,1.0125482664419019,0.05746664201385099,5.675447178018384,0.12727994448438734
23.73764802675875,1.0186769923962329,0.9732860476512758,0.045390944744957085,4.663679794290081,0.0745559408482396
24.058550536240055,1.0401287036562887,0.9917526853474985,0.048376018308790236,4.877830836610222,0.06072516869453566
24.39923277046839,1.064328302164516,1.004233173852774,0.06009512831174191,5.98418075367745,0.10691461481036711
24.74852089288352,1.043339530476589,0.9992663924956169,0.04407313798097201,4.410549410243008,0.02351477020134295
25.091901753768287,1.07497081393376,1.0162613804105043,0.05870943352325564,5.777001335969374,0.0961310870676817
25.421215546813826,1.067196425039181,1.0068942293357408,0.0603021957034402,5.988930509932729,0.11253891571464705
25.735957028044755,1.0234985425914505,0.967005720435169,0.056492822156281486,5.842035984115871,0.09971258594594316
26.039018070996068,0.9904955380603621,0.949888477128052,0.040607060932310035,4.274929311184381,0.1256606258171776
26.336205466508797,1.035421054408707,0.9837307773854378,0.05169027702326923,5.25451456959106,0.06205524530266273
26.63740812860896,1.0655711565834776,1.011269052052218,0.0543021045312595,5.369699035193608,0.19491657047131625
26.948608104654596,1.0498701772731434,0.9873757315096725,0.06249444576347085,6.329347964418614,0.20332937398957798
27.266838203594894,0.9949198892763226,0.927195056681203,0.06772483259511963,7.3042702403454935,0.20984644237316735
27.588515576234883,0.9179228197658329,0.8782391268592822,0.039683692906550716,4.518552145184613,0.15610879665075206
27.912086081219286,0.9413238994703654,0.8915327734724787,0.04979112599788671,5.58489014418983,0.10344421331765292
28.236619606000875,0.9827063841579963,0.9330201601450774,0.04968622401291889,5.325310870581089,0.034588963418218203
28.564744433442833,1.0175933680342875,0.9652195241497973,0.05237384388449018,5.42610697091142,0.05251318256611603
28.90196885017935,1.0393100563779145,0.9850098431394767,0.05430021323843781,5.512656915728805,0.06546119459425355
29.248210108831163,1.0481230893338103,0.9847403619602269,0.06338272737358341,6.436491264297686,0.09905957957225973
29.59079133477665,1.0022412192910355,0.9360205598237792,0.0662206594672563,7.074701380461493,0.12665707910670326
29.91436046895499,0.9271825611529315,0.8862063417366088,0.04097621941632268,4.623778626547146,0.2506667011139845
30.217935358668207,0.964907700118006,0.9197340089746435,0.04517369114336245,4.911603866179081,0.03895342279180403
30.51151773911378,1.0361257129255212,0.9847806356909454,0.05134507723457582,5.2138593483360784,0.046325144933088314
30.804751047373493,1.0773491313923986,1.023940444958316,0.053408686434082586,5.215995392804004,0.0797009318451832
31.106778300311362,1.0872180301575656,1.0191019764849079,0.06811605367265772,6.683929110568894,0.11190621277380107
31.42684270692471,1.0341124266892914,0.9694542806951787,0.06465814599411268,6.669540511776116,0.12284979129949036
31.760750852235244,0.9643812073517525,0.8749854021186131,0.08939580523313939,10.21683390564965,0.13973634477271132
32.09338498161437,0.8307406105893966,0.7715618657259435,0.05917874486345309,7.669993488827142,0.2798444560504231
32.41446983361143,0.7774981274978313,0.7228617707073498,0.05463635679048151,7.558340889575279,0.21939208829588872
32.71798132182637,0.7703389239733267,0.7263453094224104,0.04399361455091633,6.05684568761104,0.0753845549857542
33.00643276310146,0.8190696341309002,0.7699321059005522,0.049137528230348004,6.382059905512608,0.07447941564502655
33.28972414781417,0.8798010425258281,0.8330638126365197,0.046737229889308396,5.610282091283284,0.07767915371457426
33.571893491764946,0.951107079418526,0.8908385048771488,0.06026857454137724,6.7653760150038185,0.1500625925353452
33.85427068686941,0.969703428908617,0.9228892314317036,0.0468141974769134,5.072569478819169,0.14897788115422328
34.142041396152855,1.0052650440297923,0.964156654754424,0.04110838927536831,4.263662867715086,0.13293225548817586
34.43527587853624,1.083201665740209,1.0374469969588613,0.04575466878134771,4.410313868127381,0.16758786850463306
34.726990202187416,1.1577798215066444,1.105384975159878,0.05239484634676628,4.739963680000998,0.05923801331961859
35.015997165136,1.2050894951422628,1.1612341975855234,0.04385529755673945,3.776610923784783,0.23441426308813454
35.306621934188,1.2646085241616558,1.2048620842110718,0.05974643995058404,4.958778331024106,0.19303580081413474
35.45192009508276,1.2924487051740916,1.2306846510274863,0.06176405414660535,5.018674287929013,0.13730246112645197
35.892703603057406,1.327535888796802,1.2410870647577832,0.08644882403901888,6.965572883147458,0.18328608509769975
