slice,CFD_plane_origin_x_m,CFD_plane_origin_y_m,CFD_plane_origin_z_m,centreline_plane_x_m,centreline_plane_y_m,centreline_plane_z_m,global_s_mm,plane_origin_to_centreline_mm,normal_tangent_angle_deg,original_ROM_endpoint_distance_mm,plane_intersection_extrapolated
inlet,0.005926580083397241,-0.021677941320206097,-0.006866637498613615,0.005527597934639877,-0.02191254686263507,-0.006946234075656027,19.67159403778693,0.4696404269675944,6.966764567516302,13.91264399961258,False
midslice,0.010303987000313618,-0.02773153503893052,-0.007040573269073331,0.010243579600017394,-0.027821897656602507,-0.007421567971136408,27.312602825984865,0.3961961883754241,4.594796904598927,8.349557344024225,False
outlet,0.014722232293941245,-0.03462298076987406,-0.005146773400980403,0.01516744094417842,-0.034452605216391666,-0.005741374784205026,35.94912729812781,0.7620953853705417,30.816834648070483,0.7916626926265347,True
