slice,area_weighted_pressure_Pa,raw_slice_unweighted_mean_Pa,point_export_unweighted_mean_Pa,centreline_probe_Pa
inlet,446.3130043965965,447.2267419052945,447.18954726810676,443.75363
midslice,322.14823004147587,324.68088465776657,323.8603759697257,316.77112
outlet,89.94704555565278,89.37941296447548,89.3729381727159,91.44582
