slice,area_mm2,flow_mL_s,bulk_normal_velocity_m_s,static_pressure_Pa,bulk_dynamic_pressure_Pa,bulk_total_pressure_Pa
inlet,4.98645935,1.0213744738922028,0.20482959996298833,446.3130043965965,22.23623746112885,468.54924185772535
midslice,3.0951103800000004,1.027429854844189,0.3319525731564342,322.14823004147587,58.40203073734425,380.55026077882013
outlet,5.6834308,1.026498933012232,0.18061255061154824,89.94704555565278,17.28907352235681,107.23611907800958
