s_m,distance_from_inlet_mm,radius_m,area_m2,pressure_1d_pa,pressure_1d_mmhg
0.019671598192628113,0.0,0.0011906963375709634,4.454017389476551e-06,446.3130043965965,3.3476228414769564
0.019798453897237778,0.1268557046096644,0.001174716105730082,4.335265692203061e-06,434.5407114980134,3.2593233829901176
0.020075873471796513,0.4042752791683993,0.0011969742700110196,4.501108715929581e-06,446.02692929511625,3.3454771017502196
0.020352555438876152,0.6809572462480387,0.0012105167710696515,4.603535474844813e-06,451.43194509378594,3.3860180543281824
0.020629238337278366,0.9576401446502527,0.0011722383101861137,4.316996472659261e-06,424.47261059595763,3.18380641570931
0.02090649213641882,1.234893943790706,0.0011736048773172863,4.327067640204074e-06,422.4034798628572,3.1682866588662537
0.021187812089920044,1.5162138972919306,0.0011521346266997708,4.170194692835199e-06,403.9786961196504,3.0300894154509046
0.021475941874086857,1.8043436814587435,0.0011403272746913897,4.085158362484155e-06,391.53548337997773,2.9367576442985
0.021771825850009918,2.100227657381805,0.0011308385896784635,4.0174558548508465e-06,380.29288769415456,2.8524312416514723
0.022076268680393696,2.4046704877655825,0.0011362053305615152,4.055678473181339e-06,380.8530259632587,2.8566326241914535
0.02238563448190689,2.7140362892787775,0.0011069720184234567,3.849666952741043e-06,351.92238851964913,2.6396349974795608
0.02269164379686117,3.0200456042330583,0.001124269054368099,3.970913130482924e-06,363.01625111904855,2.722845810232297
0.022990960627794266,3.3193624351661524,0.0011152688300762588,3.90759011054243e-06,351.3863898326095,2.6356146766955826
0.023286945186555386,3.615346993927272,0.0010468469649121805,3.4428354742117024e-06,276.52500258822704,2.074108094061358
0.02358618937432766,3.9145911816995462,0.0009782495679716233,3.006416887360251e-06,172.67529831552005,1.2951712522501853
0.0238981069996953,4.226508807067188,0.0009683225273309282,2.94570969245725e-06,148.36712839270277,1.1128449833166987
0.024228899739682674,4.5573015470545615,0.0010151828433640686,3.237713467893025e-06,215.42591838229342,1.6158272735021733
0.024573884904384613,4.9022867117565,0.0009932835043414798,3.099533388124883e-06,176.0372127779927,1.32038768451812
0.024920218624174595,5.248620431546482,0.0010052492806497542,3.174661423061724e-06,187.08734025689495,1.4032704568890866
0.025256565771996975,5.584967579368862,0.0010272734801712545,3.3152938343040994e-06,211.37066691811765,1.5854103860360298
0.025578593835234642,5.906995642606529,0.0009865149785002272,3.0574350500800205e-06,145.28123116409273,1.0896988505641658
0.025887494906783104,6.215896714154991,0.0009474964623701107,2.820363379117663e-06,68.1266418446525,0.5109918378036347
0.026187618263065815,6.516020070437702,0.0009522804918859935,2.8489160236230475e-06,69.9318400947393,0.5245319382171437
0.026486813090741634,6.815214898113521,0.0010151810628848822,3.2377021109706267e-06,167.16211206719595,1.2538189545747938
