point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.0017832203084366,101188.8604190493,1188.860419049277,8.917186492286703,1.021374473892862e-06,1.021374473892862,1.007914397555224e-05,0.1013354507336639
1,0.0008973177522420874,0.8973177522420874,0.001317534034631694,101145.9444519939,1145.944451993942,8.595290266626096,1.015971097337559e-06,1.015971097337559,5.50044915042355e-06,0.1847069563773168
2,0.001794635504484175,1.794635504484175,0.00134815117593261,101150.567172211,1150.567172211027,8.629963519782571,1.020722057765978e-06,1.020722057765977,5.759259537669538e-06,0.1772314941330978
3,0.002691953256726262,2.691953256726262,0.001279262230545742,101138.4037525226,1138.40375252263,8.538730369105282,1.02062774294715e-06,1.02062774294715,5.18524361889215e-06,0.1968331562380206
4,0.00358927100896835,3.58927100896835,0.001239188300540564,101126.6952228397,1126.695222839742,8.450909174068542,1.020689682982374e-06,1.020689682982374,4.865042543683051e-06,0.2098008001106515
5,0.004486588761210437,4.486588761210437,0.001238630277988451,101117.3709208772,1117.370920877191,8.380971157646934,1.020721557324304e-06,1.020721557324304,4.860323457540782e-06,0.210011064122749
6,0.005383906513452524,5.383906513452525,0.001058711878961973,101073.2930533056,1073.293053305562,8.050359961394943,1.01910787580321e-06,1.01910787580321,3.549722281269601e-06,0.2870951574897871
7,0.006281224265694612,6.281224265694612,0.0009827983278372851,101038.0637606345,1038.063760634483,7.786118535146949,1.019853073925801e-06,1.019853073925801,3.058111566707218e-06,0.3334912102313385
8,0.007178542017936699,7.178542017936699,0.0009433372596827675,101001.6198937172,1001.61989371723,7.512767052841652,1.019994314934346e-06,1.019994314934346,2.816697648424732e-06,0.3621242833809022
9,0.008075859770178787,8.075859770178786,0.000904794495059374,100957.7591651493,957.7591651493276,7.183784533059955,1.01999014589598e-06,1.01999014589598,2.590381992639061e-06,0.3937606557774462
10,0.008973177522420875,8.973177522420874,0.001010132613605864,100953.7376347113,953.7376347113459,7.153620574091107,1.019729274088189e-06,1.019729274088189,3.228550963203256e-06,0.315847456815681
11,0.009870495274662962,9.870495274662963,0.000950592166096466,100914.3333698739,914.3333698739007,6.858064281260745,1.019922729637272e-06,1.019922729637272,2.858323765339301e-06,0.356825615740715
12,0.01076781302690505,10.76781302690505,0.0008262707214182875,100814.0875423657,814.0875423656835,6.106158738237258,1.018784463833995e-06,1.018784463833995,2.157954172927021e-06,0.4721069124810817
13,0.01166513077914714,11.66513077914714,0.000812602321652416,100760.6320910038,760.6320910038048,5.705209878988984,1.019569456847414e-06,1.019569456847414,2.086315586672591e-06,0.4886941234666048
14,0.01256244853138922,12.56244853138922,0.000838655559145154,100727.155136703,727.1551367030333,5.454112071449505,1.019513915282352e-06,1.019513915282352,2.221684610128161e-06,0.4588926129127893
15,0.01345976628363131,13.45976628363131,0.001408516884480963,100627.4148053648,627.4148053648096,4.705998061516651,1.035231841806487e-06,1.035231841806487,6.262031003448408e-06,0.1653188496941279
16,0.0143570840358734,14.3570840358734,0.001600981834623347,100632.5981785563,632.5981785562763,4.744876557820187,1.039450566469089e-06,1.039450566469089,8.090600394878649e-06,0.1284763066316078
17,0.01525440178811549,15.25440178811549,0.001314842831149423,100606.6540170568,606.654017056775,4.550279342898972,1.037065485542761e-06,1.037065485542761,5.45596177879097e-06,0.1900792997793821
18,0.01615171954035757,16.15171954035757,0.00126423257519591,100598.4540960881,598.4540960880986,4.488774877506665,1.038778393015198e-06,1.038778393015198,5.043719644760801e-06,0.2059548070949183
19,0.01704903729259966,17.04903729259966,0.001301256856433919,100592.375984823,592.3759848229674,4.443185293730812,1.038798785324355e-06,1.038798785324355,5.343222924815822e-06,0.1944142546321661
20,0.01794635504484175,17.94635504484175,0.001332713786559838,100586.5464315827,586.5464315826684,4.399460048464399,1.038803281828678e-06,1.038803281828678,5.604437972262193e-06,0.1853536799078471
21,0.01884367279708384,18.84367279708384,0.001287045515974498,100575.8026890774,575.8026890774054,4.31887535238952,1.038775367931032e-06,1.038775367931032,5.226502704980054e-06,0.1987515079374541
22,0.01974099054932592,19.74099054932593,0.001190388737435447,100556.2727369415,556.2727369414933,4.172388664304952,1.038517332031462e-06,1.038517332031462,4.470308632060979e-06,0.2323144444017349
23,0.02063830830156801,20.63830830156801,0.001181530534744288,100544.5349680186,544.5349680186046,4.08434815693196,1.038750952229843e-06,1.038750952229843,4.403638253763741e-06,0.2358847003811693
24,0.0215356260538101,21.5356260538101,0.001138797406218832,100526.7658420802,526.7658420802472,3.951068751495977,1.038705723387952e-06,1.038705723387952,4.090316493968071e-06,0.2539426148616286
25,0.02243294380605219,22.43294380605219,0.001117770224270816,100510.11291118,510.112911180011,3.826161497371626,1.038748128764364e-06,1.038748128764364,3.940169556101641e-06,0.2636302982700144
26,0.02333026155829427,23.33026155829427,0.001037018196794874,100477.6002611079,477.6002611078875,3.582296566378775,1.038483045093538e-06,1.038483045093538,3.390602574598072e-06,0.3062827260084256
27,0.02422757931053636,24.22757931053636,0.000997659302381668,100447.9782480299,447.9782480298745,3.360113195933292,1.038642741172825e-06,1.038642741172825,3.137417593506809e-06,0.3310501942551108
28,0.02512489706277845,25.12489706277845,0.001015484069379475,100429.8547258864,429.8547258863546,3.224175600349032,1.038675134232754e-06,1.038675134232754,3.250087914274218e-06,0.3195836938186584
29,0.02602221481502053,26.02221481502053,0.000950839572344457,100386.6971562154,386.6971562153922,2.900467206038466,1.038485554626863e-06,1.038485554626863,2.848544552208707e-06,0.3645670691332963
30,0.02691953256726262,26.91953256726262,0.0009898168761558095,100371.2086950923,371.2086950922967,2.784294193546702,1.03856637071347e-06,1.03856637071347,3.086511150183882e-06,0.3364855350639775
31,0.02781685031950471,27.81685031950471,0.0008876042441058525,100301.3964230375,301.3964230374841,2.260659089384641,1.037922330628866e-06,1.037922330628866,2.480674456547611e-06,0.4184032908720266
32,0.0287141680717468,28.7141680717468,0.0009738498056333095,100296.5179139907,296.5179139906686,2.224067262221659,1.038106033866654e-06,1.038106033866654,2.986064094523e-06,0.3476502902573884
33,0.02961148582398889,29.61148582398889,0.0009317119914537065,100256.2975826016,256.2975826016045,1.922389966862909,1.038301531384658e-06,1.038301531384658,2.73242129380929e-06,0.379993221574421
34,0.03050880357623097,30.50880357623097,0.0009841975435574571,100242.8033082912,242.8033082911861,1.821174585581814,1.038240494744975e-06,1.038240494744975,3.04863149238164e-06,0.3405595381659639
35,0.03140612132847306,31.40612132847306,0.0009732787306706845,100215.4890839136,215.489083913606,1.616301053950722,1.038343527108647e-06,1.038343527108647,2.980752735141033e-06,0.3483494518869403
36,0.03230343908071515,32.30343908071514,0.0007392709867803765,99977.02098819839,-22.97901180160989,-0.1723567631322741,1.031125418152824e-06,1.031125418152824,1.716652338801581e-06,0.6006607271540557
37,0.03320075683295724,33.20075683295724,0.000813364555746495,99991.33182889517,-8.668171104829526,-0.06501663025389352,1.034389307996484e-06,1.034389307996484,2.078222903270034e-06,0.4977278609523245
38,0.03409807458519933,34.09807458519933,0.0009575755933789335,100000.1684110189,0.1684110188507475,0.001263186525840491,1.034163521731592e-06,1.034163521731592,2.880690225825851e-06,0.3589985481108551
39,0.03499539233744141,34.99539233744141,0.001157187219375695,100002.478671865,2.478671864999342,0.01859156795804393,1.034622328676746e-06,1.034622328676746,4.206929202178112e-06,0.2459329087198734
40,0.0358927100896835,35.8927100896835,0.0012410870647577,100000,0,0,1.035431368785004e-06,1.035431368785004,4.838986060961793e-06,0.2139769273440869
