point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.001191975701427849,100166.5925743089,166.5925743088883,1.249547070067704,1.021374473888432e-06,1.021374473888432,4.469172674523653e-06,0.2285377067025086
1,0.0004055276454345419,0.4055276454345419,0.001194893945493362,100165.0470972606,165.0470972606126,1.237955038876992,1.021374452819595e-06,1.021374452819595,4.491030664065603e-06,0.2274254016996475
2,0.0008110552908690838,0.8110552908690838,0.001191728671827326,100162.9387733001,162.9387733001349,1.222141308652235,1.021374446711697e-06,1.021374446711697,4.467198106637419e-06,0.2286387176774353
3,0.001216582936303626,1.216582936303626,0.001168607747780219,100158.7778141232,158.7778141232266,1.190931548134718,1.021374149345131e-06,1.021374149345131,4.295407923279819e-06,0.2377828061010442
4,0.001622110581738164,1.622110581738164,0.001148436936910175,100154.5691461153,154.5691461153474,1.159363941955692,1.021374155413089e-06,1.021374155413089,4.148274579024824e-06,0.2462166223466898
5,0.002027638227172706,2.027638227172706,0.001135089407810303,100150.8624247128,150.8624247128464,1.131561244943132,1.021374240418637e-06,1.021374240418637,4.052296982685103e-06,0.2520482197587879
6,0.002433165872607248,2.433165872607248,0.001126450594077963,100147.5639783291,147.5639783290826,1.106820862415844,1.02137427177811e-06,1.02137427177811,3.990751478516074e-06,0.255935323779917
7,0.00283869351804179,2.83869351804179,0.001116301782696187,100143.9534147162,143.9534147162049,1.079739408140462,1.021374242344505e-06,1.021374242344505,3.919059608239516e-06,0.2606171746401193
8,0.003244221163476332,3.244221163476332,0.001110181596645667,100140.7540677208,140.7540677208453,1.055742332155736,1.021374257850934e-06,1.021374257850934,3.876111529142091e-06,0.2635048682611488
9,0.003649748808910874,3.649748808910874,0.001039070339031723,100126.7804816229,126.7804816228891,0.9509318168042818,1.021369671568834e-06,1.021369671568834,3.395100390622755e-06,0.3008363683121457
10,0.004055276454345412,4.055276454345412,0.000974836307942407,100109.1949622793,109.1949622793036,0.8190295740869497,1.021368439272376e-06,1.021368439272376,2.987919296491531e-06,0.3418326728145099
11,0.004460804099779954,4.460804099779954,0.0009939387575627315,100109.9046077305,109.904607730452,0.824352352715877,1.02137094474378e-06,1.02137094474378,3.106182958725517e-06,0.3288186685447527
12,0.004866331745214496,4.866331745214496,0.001002363634511581,100108.0947427255,108.0947427255014,0.8107772487621988,1.021371090747853e-06,1.021371090747853,3.159020853810885e-06,0.3233188820252547
13,0.005271859390649038,5.271859390649038,0.001009066832944164,100105.9497341498,105.9497341497627,0.7946883612940527,1.021371077276959e-06,1.021371077276959,3.20136186800677e-06,0.3190426822674769
14,0.00567738703608358,5.677387036083579,0.001008639564453851,100102.2993178743,102.29931787432,0.7673079874662889,1.02137109269041e-06,1.02137109269041,3.198563803293754e-06,0.3193217817444974
15,0.006082914681518121,6.082914681518122,0.000965613205172687,100088.0864874111,88.08648741114303,0.660702991797618,1.021369312300829e-06,1.021369312300829,2.931184354938683e-06,0.3484493599253874
16,0.006488442326952663,6.488442326952663,0.0009635971250844095,100083.2904376021,83.29043760208879,0.6247296597828864,1.021370557958521e-06,1.021370557958521,2.918852276655008e-06,0.3499219765687731
17,0.006893969972387205,6.893969972387206,0.001004698590754906,100089.3321218607,89.33212186070159,0.6700460185398266,1.02136954591418e-06,1.02136954591418,3.173309146585177e-06,0.3218626042199791
18,0.007299497617821744,7.299497617821744,0.000983346943701225,100080.6218654931,80.62186549308535,0.6047137228547077,1.021370163328414e-06,1.021370163328414,3.039666798743338e-06,0.336013856437028
19,0.007705025263256286,7.705025263256285,0.000910639289640175,100054.4009356662,54.40093566624273,0.4080405747536882,1.021363775341035e-06,1.021363775341035,2.6062724780292e-06,0.3918867976975288
20,0.008110552908690827,8.110552908690828,0.0008861849269202165,100039.3652955799,39.36529557993344,0.2952639993608083,1.021367334949789e-06,1.021367334949789,2.467895703731889e-06,0.4138616285146978
21,0.008516080554125369,8.51608055412537,0.000926666942027879,100048.7413454611,48.74134546105051,0.3655901570923981,1.021366621193357e-06,1.021366621193357,2.698708391162606e-06,0.3784649814477907
22,0.008921608199559911,8.921608199559911,0.000966721710491089,100055.9614256866,55.96142568663345,0.4197452124960265,1.021366682051212e-06,1.021366682051212,2.937210524285233e-06,0.34773356339539
23,0.00932713584499445,9.32713584499445,0.0009848569081098129,100056.4872420154,56.48724201544246,0.4236891593122803,1.021367433666678e-06,1.021367433666678,3.048457291728182e-06,0.3350440356960132
24,0.009732663490428992,9.732663490428992,0.000961989085343059,100046.5032555506,46.50325555056043,0.3488031021963278,1.021367193825214e-06,1.021367193825214,2.908316180273568e-06,0.3511884989513507
25,0.01013819113586353,10.13819113586353,0.0009017432889312236,100022.2247735462,22.22477354624425,0.1666995109646136,1.021363075481339e-06,1.021363075481339,2.554983489780034e-06,0.3997532976506715
26,0.01054371878129808,10.54371878129808,0.000920137021680123,100023.4492740375,23.44927403745533,0.1758840199827183,1.021365658981579e-06,1.021365658981579,2.660303943747067e-06,0.3839281828617414
27,0.01094924642673262,10.94924642673262,0.0009992999059391149,100040.9993917547,40.99939175466716,0.3075207286647291,1.021363365733104e-06,1.021363365733104,3.138160120091228e-06,0.3254656635252123
28,0.01135477407216716,11.35477407216716,0.001020771140725948,100042.0420605678,42.04206056776457,0.3153413879339779,1.021366584487421e-06,1.021366584487422,3.274489242391754e-06,0.3119163047676327
29,0.0117603017176017,11.7603017176017,0.0009686238731455825,100026.1935658902,26.19356589022209,0.1964679016969012,1.021364141587519e-06,1.021364141587519,2.94812248932757e-06,0.3464456260843443
30,0.01216582936303624,12.16582936303624,0.0008508973528290246,99977.25232819688,-22.74767180312483,-0.1706215704413893,1.021341889340628e-06,1.021341889340629,2.274207674330377e-06,0.4490978994004279
31,0.01257135700847078,12.57135700847078,0.0007483773859150756,99895.95980111469,-104.0401988853118,-0.7803656689124501,1.02133113889929e-06,1.02133113889929,1.758135071642611e-06,0.5809173341540228
32,0.01297688465390532,12.97688465390532,0.0007257603346606355,99860.02894696152,-139.9710530384764,-1.049869239034791,1.021343269289979e-06,1.021343269289979,1.653028326206982e-06,0.6178619283771569
33,0.01338241229933986,13.38241229933986,0.0007807633071585934,99899.79729986569,-100.2027001343085,-0.7515820611160202,1.021341030116747e-06,1.021341030116747,1.913648724334863e-06,0.5337139555084672
34,0.0137879399447744,13.7879399447744,0.000867853451618963,99943.75983151403,-56.24016848596511,-0.4218359554337132,1.021340212657696e-06,1.021340212657696,2.365154183926119e-06,0.431828174078462
