"U:0","U:1","U:2","p","Cell Type"
9.01998021e-04,-2.58610002e-03,-1.48963998e-03,8.30046982e-02,5
5.24831994e-04,-1.10482995e-03,-8.22958013e-04,8.25411975e-02,5
-3.64568987e-04,-1.14836998e-03,-1.54848996e-04,8.45146999e-02,5
-3.64568987e-04,-1.14836998e-03,-1.54848996e-04,8.45146999e-02,5
-2.71830009e-04,-1.97101990e-03,-1.51262002e-03,8.46310034e-02,5
-2.71830009e-04,-1.97101990e-03,-1.51262002e-03,8.46310034e-02,5
1.15163000e-02,1.18153996e-03,-1.16566997e-02,8.47295970e-02,5
1.15163000e-02,1.18153996e-03,-1.16566997e-02,8.47295970e-02,5
1.15163000e-02,1.18153996e-03,-1.16566997e-02,8.47295970e-02,5
1.15163000e-02,1.18153996e-03,-1.16566997e-02,8.47295970e-02,5
1.49288001e-02,1.53788002e-02,-1.72619000e-02,8.49094018e-02,5
1.49288001e-02,1.53788002e-02,-1.72619000e-02,8.49094018e-02,5
1.49288001e-02,1.53788002e-02,-1.72619000e-02,8.49094018e-02,5
1.49288001e-02,1.53788002e-02,-1.72619000e-02,8.49094018e-02,5
1.49288001e-02,1.53788002e-02,-1.72619000e-02,8.49094018e-02,5
2.14479994e-02,6.50378987e-02,-4.12593000e-02,8.66378024e-02,5
2.14479994e-02,6.50378987e-02,-4.12593000e-02,8.66378024e-02,5
2.14479994e-02,6.50378987e-02,-4.12593000e-02,8.66378024e-02,5
1.88861005e-02,5.97015992e-02,-3.46581005e-02,8.71760994e-02,5
1.88861005e-02,5.97015992e-02,-3.46581005e-02,8.71760994e-02,5
1.88861005e-02,5.97015992e-02,-3.46581005e-02,8.71760994e-02,5
1.88861005e-02,5.97015992e-02,-3.46581005e-02,8.71760994e-02,5
1.88861005e-02,5.97015992e-02,-3.46581005e-02,8.71760994e-02,5
1.08163003e-02,5.49197011e-02,-3.24232988e-02,8.78133029e-02,5
1.08163003e-02,5.49197011e-02,-3.24232988e-02,8.78133029e-02,5
1.29557997e-02,6.28075972e-02,-4.04983982e-02,8.75883028e-02,5
1.29557997e-02,6.28075972e-02,-4.04983982e-02,8.75883028e-02,5
-1.74263003e-03,1.60020997e-03,1.95029995e-03,8.89815018e-02,5
1.59012005e-02,4.99933995e-02,-1.78498998e-02,8.81637037e-02,5
