"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0094938,-0.028473,-0.007754,0.031692,-0.015573,-0.010416,0.32033
0.0097375,-0.028274,-0.0077585,0.19876,-0.20849,-0.020738,0.31458
0.0098293,-0.028198,-0.0077591,0.22563,-0.23868,-0.019177,0.31256
0.0097379,-0.028267,-0.0076962,0.22422,-0.24416,-0.019838,0.31441
0.010249,-0.027854,-0.0077607,0.33904,-0.40179,-0.025628,0.29794
0.01019,-0.027897,-0.0077108,0.35508,-0.41751,-0.024678,0.30247
0.010509,-0.02764,-0.0077588,0.31073,-0.38583,-0.026476,0.29208
0.010406,-0.027714,-0.0076577,0.36496,-0.43633,-0.03111,0.29475
0.010575,-0.027592,-0.0078178,0.27439,-0.35033,-0.023687,0.28952
0.01057,-0.027584,-0.0077051,0.32722,-0.40384,-0.029472,0.28907
0.010769,-0.027399,-0.0075035,0.19248,-0.3054,-0.056105,0.28665
0.010742,-0.027419,-0.0074762,0.19492,-0.31506,-0.05632,0.29616
0.010624,-0.027491,-0.0072499,0.27207,-0.37387,-0.041861,0.29637
0.010512,-0.027583,-0.0072492,0.3537,-0.44683,-0.037588,0.28915
0.010436,-0.027653,-0.0073225,0.38998,-0.46895,-0.037448,0.29282
0.010727,-0.027384,-0.0070362,0.1502,-0.27468,-0.046244,0.30235
0.010553,-0.027495,-0.0067429,0.19992,-0.29216,-0.025528,0.29998
0.010511,-0.02753,-0.0067418,0.29358,-0.37136,-0.029138,0.29026
0.010524,-0.027519,-0.006742,0.27826,-0.36078,-0.029095,0.28739
0.010549,-0.027495,-0.0067062,0.17964,-0.27116,-0.019873,0.30142
0.01056,-0.027495,-0.0067917,0.21193,-0.30664,-0.032704,0.30047
0.010527,-0.027515,-0.0067299,0.26458,-0.34438,-0.026131,0.28804
0.010527,-0.027518,-0.0067539,0.29194,-0.37719,-0.032058,0.28674
0.0097946,-0.028068,-0.0062762,0.0093386,-0.00432,-0.00021512,0.31551
0.010383,-0.027732,-0.0076496,0.36496,-0.43633,-0.03111,0.29475
0.010251,-0.027742,-0.0067389,0.33475,-0.39234,-0.025102,0.30123
0.0098227,-0.028242,-0.0081151,0.028408,-0.014422,-0.00072893,0.30795
0.0098728,-0.028201,-0.0081234,0.038344,-0.020684,-0.001136,0.30783
0.0096138,-0.028389,-0.0078868,0.092158,-0.051176,-0.022987,0.31725
0.010884,-0.027291,-0.0073756,0.041785,-0.082885,-0.013386,0.29099
0.010868,-0.027307,-0.0074055,0.041956,-0.079756,-0.012722,0.29085
0.010878,-0.027269,-0.0071249,0.032497,-0.10438,-0.028542,0.29854
0.010873,-0.027268,-0.0070748,0.019916,-0.075652,-0.020258,0.30436
0.0099971,-0.028102,-0.0081441,0.045068,-0.029121,-0.0033977,0.30428
0.0099224,-0.028145,-0.007978,0.18153,-0.15306,-0.018587,0.30646
0.010505,-0.02767,-0.0080102,0.19797,-0.25909,-0.012157,0.29264
0.010574,-0.02761,-0.0079747,0.21407,-0.28299,-0.014184,0.29056
0.010478,-0.027691,-0.0079929,0.21101,-0.28139,-0.01385,0.2956
0.010103,-0.027946,-0.0075029,0.36785,-0.43533,-0.027952,0.30277
0.0097394,-0.02819,-0.0069896,0.19231,-0.19129,-0.0037185,0.31842
0.0097397,-0.028181,-0.0069097,0.18329,-0.17772,-0.0014132,0.31853
0.0097729,-0.028162,-0.0069895,0.22384,-0.22086,-0.0082209,0.316
0.0097383,-0.0282,-0.0070762,0.21173,-0.21479,-0.0075849,0.31748
0.0097881,-0.028143,-0.0069294,0.21518,-0.2071,-0.0057349,0.3162
0.0097858,-0.028157,-0.0070375,0.23251,-0.23463,-0.010707,0.3158
0.0098839,-0.028016,-0.0064771,0.16587,-0.15148,-0.0083065,0.31163
0.0098663,-0.028031,-0.0064768,0.1413,-0.10236,0.0034089,0.31331
0.010123,-0.027821,-0.0064825,0.219,-0.22471,-0.017305,0.30419
0.0099985,-0.027909,-0.0063528,0.13936,-0.12561,-0.0090329,0.30924
0.0099566,-0.027946,-0.0063823,0.14791,-0.13811,-0.009303,0.31157
0.010734,-0.027495,-0.0081345,0.026933,-0.032423,0.000796,0.28708
0.010749,-0.027482,-0.0081225,0.016806,-0.024097,0.00099526,0.29342
0.010748,-0.027483,-0.0081208,0.016806,-0.024097,0.00099526,0.29342
0.0097368,-0.028277,-0.0077896,0.17192,-0.15541,-0.027163,0.31394
0.0097325,-0.028278,-0.0077584,0.16691,-0.15869,-0.027583,0.3162
0.0097358,-0.028275,-0.0077602,0.16206,-0.16099,-0.023375,0.31617
0.0097433,-0.028269,-0.0077645,0.20289,-0.20412,-0.0194,0.31191
0.0097356,-0.028275,-0.0077565,0.19107,-0.20905,-0.021456,0.31723
0.0097473,-0.028264,-0.0077486,0.24079,-0.26172,-0.019029,0.313
0.010768,-0.027413,-0.0076298,0.18927,-0.27917,-0.040883,0.28418
0.010775,-0.027381,-0.0073788,0.18324,-0.30791,-0.057242,0.29129
0.010744,-0.027403,-0.0073409,0.18466,-0.3093,-0.053662,0.29729
0.010741,-0.027413,-0.0074186,0.19492,-0.31506,-0.05632,0.29616
0.010774,-0.027368,-0.0072513,0.14564,-0.26774,-0.048614,0.29929
0.010738,-0.027389,-0.0071651,0.17021,-0.29839,-0.051571,0.30033
0.010729,-0.027386,-0.0070674,0.1502,-0.27468,-0.046244,0.30235
0.010638,-0.027426,-0.0067444,0.12887,-0.23469,-0.022048,0.30466
0.010617,-0.02744,-0.0067157,0.12302,-0.22235,-0.015701,0.31034
0.010621,-0.027442,-0.0067654,0.15859,-0.25961,-0.033135,0.30962
0.010767,-0.02732,-0.0067447,0.026664,-0.091254,-0.013947,0.31197
0.00949,-0.028487,-0.0078547,0.021468,-0.0082927,-0.0042071,0.31984
0.009493,-0.028487,-0.0078752,0.021114,-0.0071111,-0.004137,0.31937
0.0095017,-0.028481,-0.0078857,0.01589,-0.0046049,-0.0027391,0.31938
0.0097369,-0.028302,-0.0080218,0.072301,-0.03049,-0.0088097,0.31204
0.0097756,-0.02827,-0.0080192,0.11921,-0.076921,-0.012811,0.31129
0.010636,-0.027563,-0.0080184,0.17774,-0.23436,-0.0064017,0.28874
0.01067,-0.027533,-0.0079953,0.20351,-0.26743,-0.0092452,0.28397
0.01083,-0.027405,-0.0080287,0.032681,-0.038174,0.00222,0.28344
0.010768,-0.027345,-0.006995,0.10269,-0.21625,-0.042258,0.30516
0.0097439,-0.028116,-0.0063376,0.049321,-0.024104,0.0013621,0.31643
0.0099006,-0.027979,-0.0062564,0.020895,-0.011569,-0.0026561,0.31237
0.0098748,-0.028,-0.0062587,0.014499,-0.0069939,-0.0011555,0.31248
0.010513,-0.027514,-0.0066153,0.24748,-0.32125,-0.021219,0.29241
0.010537,-0.027495,-0.0066159,0.19377,-0.28163,-0.016514,0.29715
0.010521,-0.027507,-0.0066074,0.2144,-0.29853,-0.016028,0.28946
0.010522,-0.027507,-0.006622,0.26458,-0.34438,-0.026131,0.28804
0.010498,-0.027524,-0.0065935,0.24379,-0.30946,-0.020419,0.2964
0.01064,-0.027397,-0.0064924,0.046857,-0.10268,-0.0047622,0.30214
0.010523,-0.027479,-0.0063635,0.034421,-0.067448,-0.0015827,0.30737
0.010503,-0.027495,-0.0063649,0.050536,-0.084456,-0.0062285,0.30445
0.010533,-0.02747,-0.0063565,0.0096953,-0.01853,-0.00070157,0.30515
0.010503,-0.027685,-0.0081303,0.081593,-0.092134,-0.0013805,0.29278
0.010144,-0.027912,-0.007503,0.37041,-0.43889,-0.028607,0.30283
