"U:0","U:1","U:2","p","Cell Type"
3.31988007e-01,-3.72790992e-01,-2.61909999e-02,3.10566008e-01,5
4.60353009e-02,-3.10695004e-02,-3.29894992e-03,3.03263992e-01,5
4.60353009e-02,-3.10695004e-02,-3.29894992e-03,3.03263992e-01,5
1.25974998e-01,-1.02196999e-01,-1.03484001e-02,3.01618993e-01,5
1.25974998e-01,-1.02196999e-01,-1.03484001e-02,3.01618993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
3.11378986e-01,-3.44363004e-01,-1.97203998e-02,3.02585989e-01,5
3.11378986e-01,-3.44363004e-01,-1.97203998e-02,3.02585989e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
2.48521000e-01,-3.49613011e-01,-4.36049998e-02,3.00585985e-01,5
1.94915995e-01,-3.15059990e-01,-5.63202985e-02,2.96162009e-01,5
1.94915995e-01,-3.15059990e-01,-5.63202985e-02,2.96162009e-01,5
1.94915995e-01,-3.15059990e-01,-5.63202985e-02,2.96162009e-01,5
1.94915995e-01,-3.15059990e-01,-5.63202985e-02,2.96162009e-01,5
1.94915995e-01,-3.15059990e-01,-5.63202985e-02,2.96162009e-01,5
2.44056001e-01,-3.45328987e-01,-4.53015007e-02,3.02365005e-01,5
2.44056001e-01,-3.45328987e-01,-4.53015007e-02,3.02365005e-01,5
1.70205995e-01,-2.98391014e-01,-5.15714996e-02,3.00334990e-01,5
1.70205995e-01,-2.98391014e-01,-5.15714996e-02,3.00334990e-01,5
1.70205995e-01,-2.98391014e-01,-5.15714996e-02,3.00334990e-01,5
2.14328006e-01,-3.16482991e-01,-4.40048017e-02,3.06558996e-01,5
2.14328006e-01,-3.16482991e-01,-4.40048017e-02,3.06558996e-01,5
2.35749006e-01,-3.36311013e-01,-4.33053002e-02,3.04580986e-01,5
2.35749006e-01,-3.36311013e-01,-4.33053002e-02,3.04580986e-01,5
1.50195003e-01,-2.74684995e-01,-4.62438986e-02,3.02347988e-01,5
1.50195003e-01,-2.74684995e-01,-4.62438986e-02,3.02347988e-01,5
1.50195003e-01,-2.74684995e-01,-4.62438986e-02,3.02347988e-01,5
1.50195003e-01,-2.74684995e-01,-4.62438986e-02,3.02347988e-01,5
1.50195003e-01,-2.74684995e-01,-4.62438986e-02,3.02347988e-01,5
1.94656000e-01,-2.17369005e-01,-1.36662005e-02,3.04450005e-01,5
1.94656000e-01,-2.17369005e-01,-1.36662005e-02,3.04450005e-01,5
3.80625010e-01,-4.53146994e-01,-3.12254000e-02,3.03068012e-01,5
3.80625010e-01,-4.53146994e-01,-3.12254000e-02,3.03068012e-01,5
3.80625010e-01,-4.53146994e-01,-3.12254000e-02,3.03068012e-01,5
3.80625010e-01,-4.53146994e-01,-3.12254000e-02,3.03068012e-01,5
3.80625010e-01,-4.53146994e-01,-3.12254000e-02,3.03068012e-01,5
3.44455004e-01,-3.74967009e-01,-2.84339003e-02,3.05355996e-01,5
3.44455004e-01,-3.74967009e-01,-2.84339003e-02,3.05355996e-01,5
1.73024997e-01,-1.66436002e-01,-1.12044998e-02,3.06612015e-01,5
1.73024997e-01,-1.66436002e-01,-1.12044998e-02,3.06612015e-01,5
1.73024997e-01,-1.66436002e-01,-1.12044998e-02,3.06612015e-01,5
1.73024997e-01,-1.66436002e-01,-1.12044998e-02,3.06612015e-01,5
1.12971999e-01,-8.05990025e-02,-1.09267002e-02,3.05642992e-01,5
1.12971999e-01,-8.05990025e-02,-1.09267002e-02,3.05642992e-01,5
1.18267000e-01,-9.03908014e-02,-8.41339957e-03,3.03562999e-01,5
1.18267000e-01,-9.03908014e-02,-8.41339957e-03,3.03562999e-01,5
1.81532994e-01,-1.53059006e-01,-1.85874999e-02,3.06465000e-01,5
1.81532994e-01,-1.53059006e-01,-1.85874999e-02,3.06465000e-01,5
1.81532994e-01,-1.53059006e-01,-1.85874999e-02,3.06465000e-01,5
1.81532994e-01,-1.53059006e-01,-1.85874999e-02,3.06465000e-01,5
3.04643005e-01,-3.37480009e-01,-2.22463999e-02,3.08272004e-01,5
3.04643005e-01,-3.37480009e-01,-2.22463999e-02,3.08272004e-01,5
2.01829001e-01,-1.84441000e-01,-1.86934993e-02,3.01786005e-01,5
2.01829001e-01,-1.84441000e-01,-1.86934993e-02,3.01786005e-01,5
2.01829001e-01,-1.84441000e-01,-1.86934993e-02,3.01786005e-01,5
3.34129989e-01,-3.68950993e-01,-2.22526994e-02,3.02511990e-01,5
3.34129989e-01,-3.68950993e-01,-2.22526994e-02,3.02511990e-01,5
2.28707995e-02,-1.18397996e-02,-8.53858981e-03,3.22833002e-01,5
