"U:0","U:1","U:2","p","Cell Type"
5.05664013e-02,-5.10379001e-02,-3.89075987e-02,4.23195004e-01,5
3.82427014e-02,-3.94307002e-02,-3.17884982e-02,4.24012005e-01,5
3.82427014e-02,-3.94307002e-02,-3.17884982e-02,4.24012005e-01,5
4.80870008e-02,-5.07912003e-02,-3.81315015e-02,4.23429996e-01,5
4.80870008e-02,-5.07912003e-02,-3.81315015e-02,4.23429996e-01,5
6.48825988e-02,-8.09571967e-02,-4.88741994e-02,4.22201008e-01,5
6.48825988e-02,-8.09571967e-02,-4.88741994e-02,4.22201008e-01,5
5.25070988e-02,-6.26493022e-02,-4.35134992e-02,4.23175991e-01,5
5.25070988e-02,-6.26493022e-02,-4.35134992e-02,4.23175991e-01,5
5.52650988e-02,-6.41651973e-02,-4.39302996e-02,4.22847003e-01,5
5.52650988e-02,-6.41651973e-02,-4.39302996e-02,4.22847003e-01,5
6.29314035e-02,-9.57650021e-02,-6.05242997e-02,4.22751009e-01,5
6.29314035e-02,-9.57650021e-02,-6.05242997e-02,4.22751009e-01,5
6.61719963e-02,-9.76552963e-02,-6.03065006e-02,4.22805995e-01,5
6.61719963e-02,-9.76552963e-02,-6.03065006e-02,4.22805995e-01,5
4.87934016e-02,-5.74360006e-02,-4.08421010e-02,4.23222005e-01,5
4.87934016e-02,-5.74360006e-02,-4.08421010e-02,4.23222005e-01,5
5.48756011e-02,-6.57695010e-02,-4.26789001e-02,4.22437996e-01,5
5.48756011e-02,-6.57695010e-02,-4.26789001e-02,4.22437996e-01,5
5.91400005e-02,-9.45257992e-02,-6.14397004e-02,4.23074007e-01,5
5.91400005e-02,-9.45257992e-02,-6.14397004e-02,4.23074007e-01,5
4.25894000e-02,-4.54648994e-02,-3.48379984e-02,4.23577994e-01,5
4.25894000e-02,-4.54648994e-02,-3.48379984e-02,4.23577994e-01,5
5.62851988e-02,-9.16384012e-02,-5.97762987e-02,4.23325986e-01,5
5.62851988e-02,-9.16384012e-02,-5.97762987e-02,4.23325986e-01,5
6.94949999e-02,-1.22135997e-01,-7.06010014e-02,4.22248989e-01,5
6.94949999e-02,-1.22135997e-01,-7.06010014e-02,4.22248989e-01,5
5.95653988e-02,-7.22787008e-02,-4.21746001e-02,4.21837002e-01,5
5.51760010e-02,-9.77063030e-02,-5.95025010e-02,4.23709989e-01,5
5.51760010e-02,-9.77063030e-02,-5.95025010e-02,4.23709989e-01,5
6.01954013e-02,-1.04731999e-01,-6.37938976e-02,4.23258007e-01,5
6.01954013e-02,-1.04731999e-01,-6.37938976e-02,4.23258007e-01,5
6.01954013e-02,-1.04731999e-01,-6.37938976e-02,4.23258007e-01,5
6.36105984e-02,-1.16037004e-01,-6.78578988e-02,4.22598988e-01,5
6.36105984e-02,-1.16037004e-01,-6.78578988e-02,4.22598988e-01,5
7.36227036e-02,-1.23989999e-01,-6.96069002e-02,4.21875000e-01,5
7.36227036e-02,-1.23989999e-01,-6.96069002e-02,4.21875000e-01,5
6.71321973e-02,-1.10288002e-01,-6.64789975e-02,4.22625005e-01,5
6.71321973e-02,-1.10288002e-01,-6.64789975e-02,4.22625005e-01,5
7.66305998e-02,-1.26736000e-01,-6.93271980e-02,4.21867013e-01,5
7.66305998e-02,-1.26736000e-01,-6.93271980e-02,4.21867013e-01,5
6.46727011e-02,-1.07790001e-01,-6.49887025e-02,4.22784001e-01,5
6.46727011e-02,-1.07790001e-01,-6.49887025e-02,4.22784001e-01,5
5.64749017e-02,-1.15360998e-01,-7.17388019e-02,4.22859997e-01,5
5.64749017e-02,-1.15360998e-01,-7.17388019e-02,4.22859997e-01,5
7.34231994e-02,-1.43647000e-01,-8.61831009e-02,4.21685010e-01,5
7.34231994e-02,-1.43647000e-01,-8.61831009e-02,4.21685010e-01,5
6.29770979e-02,-1.26034006e-01,-7.70948976e-02,4.22322989e-01,5
6.29770979e-02,-1.26034006e-01,-7.70948976e-02,4.22322989e-01,5
6.49095997e-02,-1.32596001e-01,-8.34766030e-02,4.21721995e-01,5
6.49095997e-02,-1.32596001e-01,-8.34766030e-02,4.21721995e-01,5
5.41764982e-02,-1.19728997e-01,-9.58580002e-02,4.22845989e-01,5
2.24242993e-02,-8.44843015e-02,1.55546004e-03,4.27554995e-01,5
2.24242993e-02,-8.44843015e-02,1.55546004e-03,4.27554995e-01,5
6.28860965e-02,-1.50774002e-01,-1.06645999e-02,4.28063005e-01,5
6.28860965e-02,-1.50774002e-01,-1.06645999e-02,4.28063005e-01,5
3.80179994e-02,-1.14086002e-01,-3.33087007e-03,4.28241998e-01,5
3.80179994e-02,-1.14086002e-01,-3.33087007e-03,4.28241998e-01,5
2.32062992e-02,-9.92735997e-02,-4.22939984e-03,4.22592014e-01,5
2.32062992e-02,-9.92735997e-02,-4.22939984e-03,4.22592014e-01,5
2.32062992e-02,-9.92735997e-02,-4.22939984e-03,4.22592014e-01,5
5.68980984e-02,-1.58602998e-01,-1.90939009e-02,4.22452986e-01,5
5.68980984e-02,-1.58602998e-01,-1.90939009e-02,4.22452986e-01,5
3.64023000e-02,-1.23138003e-01,-8.69838987e-03,4.22659993e-01,5
3.64023000e-02,-1.23138003e-01,-8.69838987e-03,4.22659993e-01,5
1.96563005e-02,-7.74106979e-02,-2.94959988e-04,4.25895989e-01,5
1.12846002e-01,-1.35086000e-01,-3.72998007e-02,4.14703995e-01,5
1.12846002e-01,-1.35086000e-01,-3.72998007e-02,4.14703995e-01,5
9.85388011e-02,-1.09508000e-01,-2.86394004e-02,4.16197985e-01,5
9.85388011e-02,-1.09508000e-01,-2.86394004e-02,4.16197985e-01,5
9.85388011e-02,-1.09508000e-01,-2.86394004e-02,4.16197985e-01,5
9.76374000e-02,-1.15849003e-01,-3.63162011e-02,4.17037010e-01,5
9.76374000e-02,-1.15849003e-01,-3.63162011e-02,4.17037010e-01,5
9.76374000e-02,-1.15849003e-01,-3.63162011e-02,4.17037010e-01,5
1.03721999e-01,-1.60974994e-01,-2.48505007e-02,4.18072999e-01,5
1.03721999e-01,-1.60974994e-01,-2.48505007e-02,4.18072999e-01,5
1.10508002e-01,-1.39774993e-01,-4.16067988e-02,4.15744007e-01,5
1.10508002e-01,-1.39774993e-01,-4.16067988e-02,4.15744007e-01,5
1.01945996e-01,-1.37682006e-01,-5.12658991e-02,4.17259991e-01,5
1.01945996e-01,-1.37682006e-01,-5.12658991e-02,4.17259991e-01,5
9.28573012e-02,-1.13505997e-01,-4.98211011e-02,4.18585002e-01,5
9.28573012e-02,-1.13505997e-01,-4.98211011e-02,4.18585002e-01,5
9.28573012e-02,-1.13505997e-01,-4.98211011e-02,4.18585002e-01,5
9.51708034e-02,-1.15263999e-01,-4.36348990e-02,4.17833000e-01,5
9.51708034e-02,-1.15263999e-01,-4.36348990e-02,4.17833000e-01,5
9.51708034e-02,-1.15263999e-01,-4.36348990e-02,4.17833000e-01,5
1.05715998e-01,-1.60077006e-01,-2.52340008e-02,4.18736994e-01,5
1.05715998e-01,-1.60077006e-01,-2.52340008e-02,4.18736994e-01,5
1.04656003e-01,-1.38350993e-01,-4.62161005e-02,4.16725993e-01,5
1.04656003e-01,-1.38350993e-01,-4.62161005e-02,4.16725993e-01,5
1.42333001e-01,-3.06001991e-01,-6.74223974e-02,4.19993013e-01,5
1.42333001e-01,-3.06001991e-01,-6.74223974e-02,4.19993013e-01,5
1.64419994e-01,-3.43192995e-01,-7.45704025e-02,4.21380997e-01,5
1.64419994e-01,-3.43192995e-01,-7.45704025e-02,4.21380997e-01,5
1.54745996e-01,-3.28159004e-01,-6.95078969e-02,4.20809001e-01,5
1.54745996e-01,-3.28159004e-01,-6.95078969e-02,4.20809001e-01,5
1.53724000e-01,-3.22418988e-01,-7.10263029e-02,4.21104997e-01,5
1.53724000e-01,-3.22418988e-01,-7.10263029e-02,4.21104997e-01,5
1.30125999e-01,-2.75510013e-01,-4.45707999e-02,4.14395988e-01,5
1.30125999e-01,-2.75510013e-01,-4.45707999e-02,4.14395988e-01,5
1.63369000e-01,-3.35895985e-01,-6.24959990e-02,4.20455009e-01,5
1.63369000e-01,-3.35895985e-01,-6.24959990e-02,4.20455009e-01,5
1.70324996e-01,-3.17568988e-01,-7.90273026e-02,4.22381014e-01,5
1.70324996e-01,-3.17568988e-01,-7.90273026e-02,4.22381014e-01,5
1.70324996e-01,-3.17568988e-01,-7.90273026e-02,4.22381014e-01,5
1.70324996e-01,-3.17568988e-01,-7.90273026e-02,4.22381014e-01,5
1.35379001e-01,-2.75941014e-01,-7.70002976e-02,4.23180014e-01,5
1.35379001e-01,-2.75941014e-01,-7.70002976e-02,4.23180014e-01,5
1.35379001e-01,-2.75941014e-01,-7.70002976e-02,4.23180014e-01,5
5.11312000e-02,-1.43005997e-01,-1.72326993e-02,4.28268999e-01,5
5.11312000e-02,-1.43005997e-01,-1.72326993e-02,4.28268999e-01,5
5.11312000e-02,-1.43005997e-01,-1.72326993e-02,4.28268999e-01,5
5.11312000e-02,-1.43005997e-01,-1.72326993e-02,4.28268999e-01,5
9.90289003e-02,-1.32697999e-01,-2.05546003e-02,4.15475011e-01,5
9.90289003e-02,-1.32697999e-01,-2.05546003e-02,4.15475011e-01,5
9.90289003e-02,-1.32697999e-01,-2.05546003e-02,4.15475011e-01,5
1.10179998e-01,-1.61032006e-01,-3.17435004e-02,4.13058996e-01,5
1.10179998e-01,-1.61032006e-01,-3.17435004e-02,4.13058996e-01,5
1.10179998e-01,-1.61032006e-01,-3.17435004e-02,4.13058996e-01,5
1.09072998e-01,-2.43449003e-01,-4.02464010e-02,4.12214994e-01,5
1.09072998e-01,-2.43449003e-01,-4.02464010e-02,4.12214994e-01,5
1.09072998e-01,-2.43449003e-01,-4.02464010e-02,4.12214994e-01,5
1.11497998e-01,-2.61424989e-01,-4.50371988e-02,4.11830992e-01,5
1.11497998e-01,-2.61424989e-01,-4.50371988e-02,4.11830992e-01,5
1.11497998e-01,-2.61424989e-01,-4.50371988e-02,4.11830992e-01,5
1.11497998e-01,-2.61424989e-01,-4.50371988e-02,4.11830992e-01,5
1.01809002e-01,-1.50009006e-01,-3.20602991e-02,4.20199007e-01,5
1.01809002e-01,-1.50009006e-01,-3.20602991e-02,4.20199007e-01,5
9.09662023e-02,-1.48543000e-01,-5.23803011e-02,4.21499997e-01,5
9.09662023e-02,-1.48543000e-01,-5.23803011e-02,4.21499997e-01,5
8.49687979e-02,-1.54422000e-01,-5.97169995e-02,4.22221988e-01,5
8.49687979e-02,-1.54422000e-01,-5.97169995e-02,4.22221988e-01,5
5.96159995e-02,-1.34793997e-01,-8.00070986e-02,4.25496012e-01,5
5.96159995e-02,-1.34793997e-01,-8.00070986e-02,4.25496012e-01,5
9.85269025e-02,-1.82631001e-01,-5.86959012e-02,4.21207011e-01,5
9.85269025e-02,-1.82631001e-01,-5.86959012e-02,4.21207011e-01,5
1.27586007e-01,-2.28446007e-01,-6.88724965e-02,4.18325007e-01,5
1.27586007e-01,-2.28446007e-01,-6.88724965e-02,4.18325007e-01,5
1.27586007e-01,-2.28446007e-01,-6.88724965e-02,4.18325007e-01,5
1.27586007e-01,-2.28446007e-01,-6.88724965e-02,4.18325007e-01,5
7.97626004e-02,-1.65884003e-01,-8.05564970e-02,4.24847007e-01,5
7.97626004e-02,-1.65884003e-01,-8.05564970e-02,4.24847007e-01,5
7.97626004e-02,-1.65884003e-01,-8.05564970e-02,4.24847007e-01,5
1.28230006e-01,-2.35802993e-01,-6.88584968e-02,4.22060013e-01,5
1.28230006e-01,-2.35802993e-01,-6.88584968e-02,4.22060013e-01,5
6.86917007e-02,-1.43487006e-01,-8.12126994e-02,4.27262992e-01,5
6.86917007e-02,-1.43487006e-01,-8.12126994e-02,4.27262992e-01,5
6.86917007e-02,-1.43487006e-01,-8.12126994e-02,4.27262992e-01,5
6.86917007e-02,-1.43487006e-01,-8.12126994e-02,4.27262992e-01,5
1.18577003e-01,-2.20505998e-01,-7.01977983e-02,4.24089015e-01,5
1.18577003e-01,-2.20505998e-01,-7.01977983e-02,4.24089015e-01,5
7.85622001e-02,-1.50933996e-01,-3.51989008e-02,4.29948986e-01,5
7.85622001e-02,-1.50933996e-01,-3.51989008e-02,4.29948986e-01,5
6.69869035e-02,-1.98597997e-01,-2.60770004e-02,4.27565008e-01,5
6.69869035e-02,-1.98597997e-01,-2.60770004e-02,4.27565008e-01,5
6.69869035e-02,-1.98597997e-01,-2.60770004e-02,4.27565008e-01,5
