"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.06302,-0.17006,0.032996,0.073713,0.015016,-0.034621,-0.0071377
0.08123,-0.21933,0.047001,0.075805,0.014996,-0.034626,-0.0070764
0.062647,-0.17904,0.030481,0.07266,0.015059,-0.0346,-0.0071333
0.0081005,-0.010549,-0.00089752,0.072285,0.015015,-0.034627,-0.0072264
0.0096198,-0.020058,-0.0015543,0.069462,0.015064,-0.034604,-0.0072329
0.022145,-0.04282,0.0029326,0.071558,0.015041,-0.034613,-0.0071999
0.021932,-0.057197,0.0021842,0.069836,0.01506,-0.034604,-0.0071935
0.17169,-0.49919,0.094558,0.079637,0.015251,-0.0345,-0.0070094
0.087523,-0.31799,0.047545,0.076851,0.015249,-0.03451,-0.0071336
0.072135,-0.25752,0.037165,0.074266,0.015185,-0.03454,-0.0071319
-0.0015192,-0.053428,-0.0010065,0.070602,0.015294,-0.034496,-0.0072505
0.028623,-0.16683,0.014191,0.071795,0.015289,-0.034495,-0.0071985
0.13948,-0.43373,0.073961,0.073797,0.015281,-0.034495,-0.0071345
0.21443,-0.57095,0.097551,0.079002,0.01526,-0.034496,-0.0070095
0.0070719,0.0024647,-0.0039518,0.080964,0.014679,-0.034776,-0.0070795
0.0030271,0.0036921,-0.0020789,0.081074,0.014641,-0.034798,-0.0071268
0.0038959,0.003004,-0.0017222,0.080886,0.014687,-0.034777,-0.0071444
0.016856,-0.013464,-0.002591,0.079333,0.014735,-0.03475,-0.0070792
0.012725,-0.0076342,-0.0049592,0.0818,0.014678,-0.034773,-0.0070155
0.023362,-0.040194,0.0068393,0.080648,0.014724,-0.034751,-0.0070152
0.01248,-0.0026747,-0.0025731,0.079191,0.014741,-0.034747,-0.0070864
0.0070513,0.0023554,-0.0022045,0.080625,0.01473,-0.034757,-0.0071533
0.0042271,0.00053061,-0.0013718,0.079111,0.014747,-0.03475,-0.0071668
0.045008,-0.10436,0.026764,0.078602,0.014742,-0.034742,-0.007015
0.024828,-0.029964,0.0019405,0.077187,0.014743,-0.034746,-0.0070791
-0.0048524,-0.060115,-0.00099683,0.069136,0.015311,-0.034488,-0.0072517
0.016176,-0.14006,0.01074,0.070281,0.015312,-0.034484,-0.0071995
-0.0078682,-0.060604,-0.001382,0.073607,0.015375,-0.034458,-0.0072529
0.016351,-0.16612,0.0084249,0.075098,0.015375,-0.034454,-0.0072003
0.088258,-0.33052,0.048635,0.07114,0.015312,-0.03448,-0.0071353
0.12856,-0.42111,0.066793,0.077188,0.015376,-0.034449,-0.0071361
-0.0079982,-0.057914,-0.00084609,0.077732,0.015436,-0.034429,-0.0072438
0.0033309,-0.12263,0.0024634,0.078628,0.015439,-0.034424,-0.0071973
0.082378,-0.33406,0.039707,0.080434,0.01544,-0.034419,-0.0071358
0.044437,-0.25168,0.019028,0.084658,0.015505,-0.034388,-0.0071377
-0.00081866,-0.10407,-0.00082196,0.082901,0.015503,-0.034393,-0.0071978
0.021542,-0.13969,0.0030142,0.093515,0.015633,-0.034328,-0.0071385
0.012308,-0.088521,0.0021606,0.096393,0.015694,-0.034299,-0.0071326
0.0009557,-0.060552,-0.0049914,0.092124,0.015627,-0.034334,-0.0071915
-0.0025861,-0.081349,-0.0079334,0.090052,0.0156,-0.034348,-0.0072072
0.029817,-0.18384,0.005154,0.092541,0.015579,-0.034354,-0.0071418
-0.0043097,-0.095114,-0.0062462,0.086574,0.015581,-0.034358,-0.0072168
0.031683,-0.20693,0.0085876,0.089931,0.01557,-0.034358,-0.0071423
0.06791,-0.25294,0.030219,0.09623,0.015634,-0.034323,-0.0070747
0.041612,-0.16216,0.019235,0.098451,0.015698,-0.034292,-0.0070721
0.040157,-0.12824,0.030792,0.10141,0.015779,-0.034251,-0.0070241
0.022346,-0.086777,0.011959,0.099786,0.015756,-0.034265,-0.0070664
0.070896,-0.21357,0.041664,0.10034,0.015702,-0.034286,-0.0070109
0.13724,-0.37137,0.066571,0.098015,0.015636,-0.034317,-0.0070115
