quantity,value,units
P_inlet,28.497418738,Pa
P_outlet,0.0,Pa
DeltaP patch,28.497418738,Pa
DeltaP centreline,27.234823577399997,Pa
centreline dP/dz,-711.9553099732321,Pa/m
linear fit R2,0.9999911564016399,-
