point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.001191975701427849,100175.1105130996,175.1105130996148,1.313436865294912,1.021374473892729e-06,1.021374473892729,4.469458011982978e-06,0.2285231165074482
1,0.0004055276454345419,0.4055276454345419,0.001194893945493362,100173.5648230066,173.5648230065708,1.301843236137021,1.021374616697512e-06,1.021374616697512,4.491317391540605e-06,0.2274109192830223
2,0.0008110552908690838,0.8110552908690838,0.001191728671827326,100171.4565189561,171.4565189561108,1.286029655249679,1.021374803513272e-06,1.021374803513272,4.467483315438046e-06,0.2286242010325547
3,0.001216582936303626,1.216582936303626,0.001168607747780219,100167.2739216249,167.273921624932,1.254657595227621,1.021372476332582e-06,1.021372476332582,4.295681471692613e-06,0.2377672746852712
4,0.001622110581738164,1.622110581738164,0.001148436936910175,100163.052895835,163.0528958350187,1.222997298060433,1.021372833398537e-06,1.021372833398537,4.148538377312809e-06,0.246200647219534
5,0.002027638227172706,2.027638227172706,0.001135089407810303,100159.3426622754,159.3426622754341,1.195168257703269,1.021373821390896e-06,1.021373821390896,4.052554574441655e-06,0.2520320954951007
6,0.002433165872607248,2.433165872607248,0.001126450594077963,100156.0430256546,156.0430256545806,1.17041894766361,1.021374327237777e-06,1.021374327237777,3.99100512556e-06,0.2559190718178871
7,0.00283869351804179,2.83869351804179,0.001116301782696187,100152.4284187043,152.428418704294,1.143307165863526,1.021374250636602e-06,1.021374250636602,3.919308583221959e-06,0.2606006210194693
8,0.003244221163476332,3.244221163476332,0.001110181596645667,100149.2284637152,149.2284637152334,1.119305529551,1.021374659857301e-06,1.021374659857301,3.876357760941696e-06,0.2634882337922747
9,0.003649748808910874,3.649748808910874,0.001039070339031723,100134.9394808431,134.9394808431389,1.012129343840779,1.021335135017157e-06,1.021335135017157,3.395308049799367e-06,0.3008077971627873
