point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.0017832203084366,100661.4699024701,661.4699024701258,4.961432296718026,1.021374473892863e-06,1.021374473892863,1.003899828346379e-05,0.1017406869961073
1,0.0008973177522420874,0.8973177522420874,0.001317534034631694,100620.3624379392,620.362437939184,4.653100955566465,1.015632511224716e-06,1.015632511224716,5.47862800989329e-06,0.1853808324011477
2,0.001794635504484175,1.794635504484175,0.00134815117593261,100629.7126738439,629.7126738439256,4.723233492551869,1.020487881410739e-06,1.020487881410739,5.736610980030604e-06,0.1778903936169214
3,0.002691953256726262,2.691953256726262,0.001279262230545742,100622.1996804876,622.1996804876107,4.666881407984073,1.020381984681755e-06,1.020381984681755,5.165034100667901e-06,0.1975557326255686
4,0.00358927100896835,3.58927100896835,0.001239188300540564,100616.0343296067,616.0343296066567,4.620637473275726,1.020441345299301e-06,1.020441345299301,4.846283425339066e-06,0.2105616560300839
5,0.004486588761210437,4.486588761210437,0.001238630277988451,100612.6461602698,612.6461602698109,4.595224113254655,1.02047712236092e-06,1.02047712236092,4.841798176576968e-06,0.2107641019783449
6,0.005383906513452524,5.383906513452525,0.001058711878961973,100576.319526619,576.319526619016,4.322751952763214,1.018804636027011e-06,1.018804636027011,3.536404885901778e-06,0.2880905427844439
7,0.006281224265694612,6.281224265694612,0.0009827983278372851,100553.9268236761,553.9268236761418,4.154792867736505,1.019540979943784e-06,1.019540979943784,3.046934840980023e-06,0.3346120718139269
8,0.007178542017936699,7.178542017936699,0.0009433372596827675,100533.7056234269,533.7056234269112,4.003121392405145,1.019672740877276e-06,1.019672740877276,2.806746877219264e-06,0.3632935261283919
9,0.008075859770178787,8.075859770178786,0.000904794495059374,100508.9912068047,508.9912068046688,3.817748022632397,1.01965482378132e-06,1.01965482378132,2.581603999058177e-06,0.3949695960562926
10,0.008973177522420875,8.973177522420874,0.001010132613605864,100521.8427461538,521.8427461538377,3.91414249523259,1.019438486752317e-06,1.019438486752317,3.218013605161155e-06,0.3167912996406456
11,0.009870495274662962,9.870495274662963,0.000950592166096466,100497.5356628731,497.5356628730806,3.731824376784851,1.01961194914249e-06,1.01961194914249,2.849320564410308e-06,0.3578439824953292
12,0.01076781302690505,10.76781302690505,0.0008262707214182875,100419.4983512222,419.4983512222243,3.146496402030785,1.018418138428529e-06,1.018418138428529,2.151524766746933e-06,0.4733473555576358
13,0.01166513077914714,11.66513077914714,0.000812602321652416,100397.2948067964,397.2948067963589,2.979956122564211,1.019205174776412e-06,1.019205174776412,2.080588741371716e-06,0.4898640531696781
14,0.01256244853138922,12.56244853138922,0.000838655559145154,100394.2099971001,394.2099971000571,2.956818146974835,1.019167106504898e-06,1.019167106504898,2.216090299416269e-06,0.4598944149789423
15,0.01345976628363131,13.45976628363131,0.001408516884480963,100303.6913253578,303.6913253577659,2.277872272398926,1.03500623812032e-06,1.03500623812032,6.246730716298916e-06,0.1656876685502695
16,0.0143570840358734,14.3570840358734,0.001600981834623347,100311.8493761267,311.8493761267309,2.339062685465735,1.039283817383662e-06,1.039283817383662,8.071007616122127e-06,0.1287675404599465
17,0.01525440178811549,15.25440178811549,0.001314842831149423,100288.9105914363,288.9105914362735,2.167007650481227,1.036829941649034e-06,1.036829941649034,5.442879807184975e-06,0.190492896452731
18,0.01615171954035757,16.15171954035757,0.00126423257519591,100285.9654429226,285.9654429226066,2.144917219911715,1.038553991195304e-06,1.038553991195304,5.031824951838752e-06,0.2063970830520113
19,0.01704903729259966,17.04903729259966,0.001301256856433919,100285.2087323822,285.2087323821615,2.139241424080928,1.038578404698512e-06,1.038578404698512,5.330834451454297e-06,0.1948247345361548
20,0.01794635504484175,17.94635504484175,0.001332713786559838,100284.162903665,284.1629036649974,2.13139706358199,1.038583755244687e-06,1.038583755244687,5.591644417094206e-06,0.1857385200080867
21,0.01884367279708384,18.84367279708384,0.001287045515974498,100278.2418290696,278.2418290696078,2.086985351697382,1.038551343532255e-06,1.038551343532255,5.214762126521357e-06,0.1991560353244173
22,0.01974099054932592,19.74099054932593,0.001190388737435447,100264.7690831614,264.7690831614309,1.985931446712909,1.03827018378154e-06,1.03827018378154,4.460472913381133e-06,0.2327713264811525
