point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.0017832203084366,100631.7458819531,631.7458819530875,4.73848380755649,1.021374473892861e-06,1.021374473892861,1.003726019994111e-05,0.1017583055814422
1,0.0008973177522420874,0.8973177522420874,0.001317534034631694,100590.863360254,590.8633602540358,4.431839676400255,1.015604772659102e-06,1.015604772659102,5.477671786869384e-06,0.1854081315035778
2,0.001794635504484175,1.794635504484175,0.00134815117593261,100600.4003516924,600.4003516923694,4.503372995087886,1.020460241792181e-06,1.020460241792181,5.735621770741667e-06,0.1779162565658247
3,0.002691953256726262,2.691953256726262,0.001279262230545742,100593.1355027957,593.1355027956743,4.448882147035329,1.020351480455087e-06,1.020351480455088,5.164150127142341e-06,0.197583644116866
4,0.00358927100896835,3.58927100896835,0.001239188300540564,100587.2586246253,587.2586246253486,4.404801935601298,1.020408822187315e-06,1.020408822187315,4.845462220682497e-06,0.2105906317934065
5,0.004486588761210437,4.486588761210437,0.001238630277988451,100584.1796783011,584.1796783010795,4.381707938918993,1.020443187843244e-06,1.020443187843244,4.840987703001958e-06,0.2107923801048324
6,0.005383906513452524,5.383906513452525,0.001058711878961973,100548.3171500938,548.3171500938042,4.112716855537731,1.018765745700027e-06,1.018765745700027,3.535815561426975e-06,0.2881275643690999
7,0.006281224265694612,6.281224265694612,0.0009827983278372851,100526.5944068496,526.5944068496174,3.949782881516306,1.019500602108106e-06,1.019500602108106,3.046437240558312e-06,0.3346534788570585
8,0.007178542017936699,7.178542017936699,0.0009433372596827675,100507.2198899345,507.2198899344803,3.804462053467879,1.01963091284542e-06,1.01963091284542,2.806302029553751e-06,0.3633362165268101
9,0.008075859770178787,8.075859770178786,0.000904794495059374,100483.5106844481,483.5106844481343,3.626628387279577,1.019611462230825e-06,1.019611462230825,2.581209470547453e-06,0.3950131750103617
10,0.008973177522420875,8.973177522420874,0.001010132613605864,100497.2802460185,497.2802460185339,3.729908592821678,1.019396135021712e-06,1.019396135021712,3.217547032863194e-06,0.3168240795927398
11,0.009870495274662962,9.870495274662963,0.000950592166096466,100473.7654913465,473.7654913464794,3.553533427687688,1.01956771112025e-06,1.01956771112025,2.848919149639861e-06,0.3578788817750354
12,0.01076781302690505,10.76781302690505,0.0008262707214182875,100396.9670355357,396.9670355357084,2.977497635923391,1.018370596809375e-06,1.018370596809375,2.151229017350034e-06,0.4733903462204358
13,0.01166513077914714,11.66513077914714,0.000812602321652416,100376.3729264091,376.3729264090944,2.823029113982541,1.019157356538258e-06,1.019157356538258,2.080324351490913e-06,0.4899033407640577
14,0.01256244853138922,12.56244853138922,0.000838655559145154,100374.8761964791,374.8761964791192,2.811802716248778,1.019119984973256e-06,1.019119984973256,2.215834533297051e-06,0.459926247192333
15,0.01345976628363131,13.45976628363131,0.001408516884480963,100286.1018858949,286.1018858948955,2.145940626368829,1.034920148216549e-06,1.034920148216549,6.246049005272987e-06,0.1656919722798886
16,0.0143570840358734,14.3570840358734,0.001600981834623347,100294.3944135277,294.3944135276688,2.208139698866351,1.039200156281987e-06,1.039200156281987,8.07013988721219e-06,0.128771021531168
17,0.01525440178811549,15.25440178811549,0.001314842831149423,100271.662389574,271.662389574034,2.037635496948524,1.036743331775793e-06,1.036743331775793,5.442293708106554e-06,0.1904975005754277
