Slice,Q [mL/s],Area [mm²],U_mean = Q/A [m/s],1D parabolic Umax [m/s],0D velocity [m/s]
inlet,1.0213744738922028,4.98645935,0.20482959996298833,0.40965919992597666,0.20482959996298833
midslice,1.027429854844189,3.0951103800000004,0.3319525731564342,0.6639051463128685,0.3319525731564342
outlet,1.026498933012232,5.6834308,0.18061255061154824,0.3612251012230965,0.18061255061154824
