Slice,Axial position [m],Axial position [mm],CFD average pressure [Pa],CFD average pressure [mmHg]
inlet,0.0,0.0,446.3130043965965,3.3476320817014185
midslice,0.017946352460000006,17.946352460000007,322.14823004147587,2.4163171122656117
outlet,0.03589270492000001,35.892704920000014,89.94704555565278,0.6746601877833575
