Slice,Mean Velocity [m/s],Max Velocity [m/s],Std Velocity [m/s],CV [-],VelocityNonUniformity [-],n points,source_file
inlet,0.15368638710765725,0.4199782298274519,0.10995888778099946,0.7154757805840884,0.7154757805840884,1574,data_parafoam/inlet_point_u.csv
midslice,0.25666752200995085,0.6110653447905551,0.16754976902015414,0.6527891324468327,0.6527891324468327,1057,data_parafoam/midsclice_point_u.csv
outlet,0.11662033783576893,0.763067059569472,0.1767974519692891,1.516008744703388,1.516008744703388,799,data_parafoam/outlet_point_u.csv
