points_per_edge,pressure_drop_Pa,mean_flow_m3_s
11,175.1105130996148,1.021267449396325e-06
15,170.445695306611,1.021318880776888e-06
21,167.938219208605,1.021346389144435e-06
31,166.5925743088883,1.021361871450556e-06
41,166.1217823028273,1.021367389503284e-06
