Model,DeltaP_mmHg,R_mmHg_s_mL,Error_vs_CFD_pct
Analytical (Poiseuille),1.091564369153817,1.0648358320276532,-59.162893869647306
CFD,2.672971893918061,2.6075202993784137,0.0
Native 0D,1.3053738933226933,1.273409919820839,-51.16394989813129
0D (N=50),1.270266144675041,1.2391618353301181,-52.47738490758779
1D,1.305521278083684,1.2735536956521436,-51.158436006970454
